No,code,assay,species,ind,trt,spore,leaf,rep,tubes,count.mu,spores_cm2,count.sd,date_counted,water,p.area,manual,remove,notes
205,L_QUCH2S_1T,L,QUCH,2,T,S,1,1,.2 ml,0.4,32.5203252,0.28,25-Jun,1,0.01101,0,,water
206,L_QUCH2S_2T,L,QUCH,2,T,S,2,2,.2 ml,0.33,26.82926829,0.23,25-Jun,0,0.0606,0,,
207,L_QUCH2S_3T,L,QUCH,2,T,S,3,3,.2 ml,0.4,32.5203252,0.35,25-Jun,0,2.97E-05,1,,
208,L_QUCH2S_4T,L,QUCH,2,T,S,4,4,.2 ml,0.53,43.08943089,0.42,25-Jun,0,6.69E-05,1,,
209,L_QUCH2S_5T,L,QUCH,2,T,S,5,5,.2 ml,0.13,10.56910569,0.23,25-Jun,0,0.002074058,1,,
210,L_QUCH2S_6T,L,QUCH,2,T,S,6,6,.2 ml,0.2,16.2601626,0.16,26-Jun,1,0.001447568,1,,water
211,L_QUCH2S_1W,L,QUCH,2,W,S,1,1,.2 ml,0,0,0,19-Jul,0,3.58E-05,1,,
212,L_QUCH2S_2W,L,QUCH,2,W,S,2,2,.2 ml,0,0,0,19-Jul,0,2.55E-05,1,,
213,L_QUCH2S_3W,L,QUCH,2,W,S,3,3,.2 ml,0,0,0,19-Jul,0,7.20E-05,1,,
214,L_QUCH2S_4W,L,QUCH,2,W,S,4,4,.2 ml,0,0,0,19-Jul,0,0.000114709,1,,
215,L_QUCH2S_5W,L,QUCH,2,W,S,5,5,.2 ml,0,0,0,19-Jul,0,0,1,,
216,L_QUCH2S_6W,L,QUCH,2,W,S,6,6,.2 ml,0,0,0,19-Jul,0,0,1,,
217,L_QUCH3S_1T,L,QUCH,3,T,S,1,1,.2 ml,0.2,16.2601626,0.2,29-Jun,0,7.71E-05,1,,6/29 - water
218,L_QUCH3S_2T,L,QUCH,3,T,S,2,2,.2 ml,0,0,0,29-Jun,0,0,1,,
219,L_QUCH3S_3T,L,QUCH,3,T,S,3,3,.2 ml,0,0,0,29-Jun,0,0.000221524,1,,
220,L_QUCH3S_4T,L,QUCH,3,T,S,4,4,.2 ml,0.4,32.5203252,0.2,29-Jun,0,0,1,,
221,L_QUCH3S_5T,L,QUCH,3,T,S,5,5,.2 ml,0.2,16.2601626,0,29-Jun,0,2.55E-05,1,,
222,L_QUCH3S_6T,L,QUCH,3,T,S,6,6,.2 ml,0.2,16.2601626,0.2,29-Jun,0,0,1,,
223,L_QUCH3S_1W,L,QUCH,3,W,S,1,1,.2 ml,0,0,0,26-Jun,1,0,1,,water
224,L_QUCH3S_2W,L,QUCH,3,W,S,2,2,.2 ml,0,0,0,26-Jun,0,0,1,,
225,L_QUCH3S_3W,L,QUCH,3,W,S,3,3,.2 ml,0,0,0,26-Jun,0,0,1,,
226,L_QUCH3S_4W,L,QUCH,3,W,S,4,4,.2 ml,0,0,0,26-Jun,0,0,1,,
227,L_QUCH3S_5W,L,QUCH,3,W,S,5,5,.2 ml,0,0,0,26-Jun,0,7.11E-05,1,,
228,L_QUCH3S_6W,L,QUCH,3,W,S,6,6,.2 ml,0,0,0,26-Jun,0,0,1,,
229,L_QUKE1S_1T,L,QUKE,1,T,S,1,1,.2 ml,1.15,93.49593496,0.6,25-Jun,1,0.21016,0,,water
230,L_QUKE1S_2T,L,QUKE,1,T,S,2,2,.2 ml,0.4,32.5203252,0,25-Jun,0,0.27506,0,,
231,L_QUKE1S_3T,L,QUKE,1,T,S,3,3,.2 ml,1.65,134.1463415,0.53,25-Jun,0,0.28444,0,,
232,L_QUKE1S_4T,L,QUKE,1,T,S,4,4,.2 ml,0.5,40.6504065,0.42,25-Jun,0,0.21732,0,,
233,L_QUKE1S_5T,L,QUKE,1,T,S,5,5,.2 ml,0.25,20.32520325,0.1,25-Jun,0,0.1874,0,,
234,L_QUKE1S_6T,L,QUKE,1,T,S,6,6,.2 ml,0.3,24.3902439,0.26,25-Jun,0,0.14994,0,,
235,L_QUKE1S_1W,L,QUKE,1,W,S,1,1,.2 ml,0.1,8.130081301,0.2,25-Jun,0,0.000926964,1,,"water, took pics of 2 sporangia"
236,L_QUKE1S_2W,L,QUKE,1,W,S,2,2,.2 ml,0,0,0,20-Jul,0,0,1,,
237,L_QUKE1S_3W,L,QUKE,1,W,S,3,3,.2 ml,0,0,0,20-Jul,0,2.04E-05,1,,
238,L_QUKE1S_4W,L,QUKE,1,W,S,4,4,.2 ml,0,0,0,20-Jul,0,0,1,,
239,L_QUKE1S_5W,L,QUKE,1,W,S,5,5,.2 ml,0,0,0,20-Jul,0,0,1,,
240,L_QUKE1S_6W,L,QUKE,1,W,S,6,6,.2 ml,0,0,0,20-Jul,0,0,1,,
241,L_QUKE2S_1T,L,QUKE,2,T,S,1,1,.2 ml,1.4,113.8211382,0.97,25-Jun,0,0.50332,0,,"water, took pics of 2 sporangia"
242,L_QUKE2S_2T,L,QUKE,2,T,S,2,2,.2 ml,1.35,109.7560976,0.34,25-Jun,0,0.16697,0,,
243,L_QUKE2S_3T,L,QUKE,2,T,S,3,3,.2 ml,0.25,20.32520325,0.19,25-Jun,0,0.36718,0,,
244,L_QUKE2S_4T,L,QUKE,2,T,S,4,4,.2 ml,0.2,16.2601626,0.16,25-Jun,0,0.27525,0,,
245,L_QUKE2S_5T,L,QUKE,2,T,S,5,5,.2 ml,0.55,44.71544715,0.19,25-Jun,0,0.29337,0,,
246,L_QUKE2S_6T,L,QUKE,2,T,S,6,6,.2 ml,0.3,24.3902439,0.26,25-Jun,0,0.32429,0,,
247,L_QUKE2S_1W,L,QUKE,2,W,S,1,1,.2 ml,0,0,0,25-Jun,0,0,1,,"water, took pic"
248,L_QUKE2S_2W,L,QUKE,2,W,S,2,2,.2 ml,0,0,0,20-Jul,0,0,1,,
249,L_QUKE2S_3W,L,QUKE,2,W,S,3,3,.2 ml,0,0,0,20-Jul,0,3.76E-05,1,,
250,L_QUKE2S_4W,L,QUKE,2,W,S,4,4,.2 ml,0,0,0,20-Jul,0,0,1,,
251,L_QUKE2S_5W,L,QUKE,2,W,S,5,5,.2 ml,0,0,0,20-Jul,0,2.97E-05,1,,
252,L_QUKE2S_6W,L,QUKE,2,W,S,6,6,.2 ml,0,0,0,20-Jul,0,0.000928357,1,,
253,L_QUKE3S_1T,L,QUKE,3,T,S,1,1,.2 ml,6.85,556.9105691,2.2,25-Jun,1,0.26364,0,,water
254,L_QUKE3S_2T,L,QUKE,3,T,S,2,2,.2 ml,18.15,1475.609756,1.47,25-Jun,0,0.27612,0,,
255,L_QUKE3S_3T,L,QUKE,3,T,S,3,3,.2 ml,10.4,845.5284553,2.59,25-Jun,0,0.21393,0,,
256,L_QUKE3S_4T,L,QUKE,3,T,S,4,4,.2 ml,7.5,609.7560976,1.4,25-Jun,0,0.17312,0,,
257,L_QUKE3S_5T,L,QUKE,3,T,S,5,5,.2 ml,0.8,65.04065041,0.73,25-Jun,0,0.16992,0,,
258,L_QUKE3S_6T,L,QUKE,3,T,S,6,6,.2 ml,2,162.601626,0.65,25-Jun,0,0.20132,0,,
259,L_QUKE3S_1W,L,QUKE,3,W,S,1,1,.2 ml,0,0,0,25-Jun,0,0,1,,
260,L_QUKE3S_2W,L,QUKE,3,W,S,2,2,.2 ml,0,0,0,25-Jun,1,0.000144896,1,,water
261,L_QUKE3S_3W,L,QUKE,3,W,S,3,3,.2 ml,0,0,0,20-Jul,0,0,1,,
262,L_QUKE3S_4W,L,QUKE,3,W,S,4,4,.2 ml,0,0,0,20-Jul,0,0,1,,
263,L_QUKE3S_5W,L,QUKE,3,W,S,5,5,.2 ml,0,0,0,20-Jul,0,0,1,,
264,L_QUKE3S_6W,L,QUKE,3,W,S,6,6,.2 ml,0,0,0,20-Jul,0,0,1,,
265,L_QUPA1S_1T,L,QUPA,1,T,S,1,1,.2 ml,0.6,48.7804878,0.37,25-Jun,1,0.001121088,1,,4 discs cut per leaf. Pairs between S and C.water
266,L_QUPA1S_2T,L,QUPA,1,T,S,2,2,.2 ml,1.5,121.9512195,0.42,25-Jun,0,0.001379764,1,,4 discs cut per leaf. Pairs between S and C.
267,L_QUPA1S_3T,L,QUPA,1,T,S,3,3,.2 ml,0.7,56.91056911,0.5,25-Jun,0,0.001027277,1,,4 discs cut per leaf. Pairs between S and C.
268,L_QUPA1S_4T,L,QUPA,1,T,S,4,4,.2 ml,0.2,16.2601626,0,25-Jun,0,0.001242763,1,,4 discs cut per leaf. Pairs between S and C.
269,L_QUPA1S_5T,L,QUPA,1,T,S,5,5,.2 ml,0.9,73.17073171,0.82,25-Jun,0,0.001177281,1,,4 discs cut per leaf. Pairs between S and C.
270,L_QUPA1S_6T,L,QUPA,1,T,S,6,6,.2 ml,0.3,24.3902439,0.26,25-Jun,0,0,1,,4 discs cut per leaf. Pairs between S and C.
271,L_QUPA1S_1W,L,QUPA,1,W,S,7,1,.2 ml,0,0,0,25-Jun,1,0,1,,4 discs cut per leaf. Pairs between S and C.water
272,L_QUPA1S_2W,L,QUPA,1,W,S,8,2,.2 ml,0,0,0,20-Jul,0,0,1,,4 discs cut per leaf. Pairs between S and C.
273,L_QUPA1S_3W,L,QUPA,1,W,S,9,3,.2 ml,0,0,0,20-Jul,0,0,1,,4 discs cut per leaf. Pairs between S and C.
274,L_QUPA1S_4W,L,QUPA,1,W,S,10,4,.2 ml,0,0,0,20-Jul,0,0,1,,4 discs cut per leaf. Pairs between S and C.
275,L_QUPA1S_5W,L,QUPA,1,W,S,11,5,.2 ml,0,0,0,20-Jul,0,0,1,,4 discs cut per leaf. Pairs between S and C.
276,L_QUPA1S_6W,L,QUPA,1,W,S,12,6,.2 ml,0,0,0,20-Jul,0,0,1,,4 discs cut per leaf. Pairs between S and C.
277,L_QUPA2S_1T,L,QUPA,2,T,S,1,1,.2 ml,2.35,191.0569106,0.77,25-Jun,1,0.28884,0,,4 discs cut per leaf. Pairs between S and C.water
278,L_QUPA2S_2T,L,QUPA,2,T,S,2,2,.2 ml,10.47,851.2195122,1.33,25-Jun,0,0.25388,0,,4 discs cut per leaf. Pairs between S and C.
279,L_QUPA2S_3T,L,QUPA,2,T,S,3,3,.2 ml,0.65,52.84552846,0.53,25-Jun,0,0.13588,0,,4 discs cut per leaf. Pairs between S and C.
280,L_QUPA2S_4T,L,QUPA,2,T,S,4,4,.2 ml,0.55,44.71544715,0.19,25-Jun,0,0.13474,0,,4 discs cut per leaf. Pairs between S and C.
281,L_QUPA2S_5T,L,QUPA,2,T,S,5,5,.2 ml,1.47,119.5121951,0.23,25-Jun,0,0.15962,0,,4 discs cut per leaf. Pairs between S and C.
282,L_QUPA2S_6T,L,QUPA,2,T,S,6,6,.2 ml,9.8,796.7479675,2,25-Jun,0,0.25671,0,,4 discs cut per leaf. Pairs between S and C.
283,L_QUPA2S_1W,L,QUPA,2,W,S,7,1,.2 ml,0,0,0,25-Jun,1,0,1,,4 discs cut per leaf. Pairs between S and C.water
284,L_QUPA2S_2W,L,QUPA,2,W,S,8,2,.2 ml,0,0,0,25-Jun,0,0,1,,4 discs cut per leaf. Pairs between S and C.
285,L_QUPA2S_3W,L,QUPA,2,W,S,9,3,.2 ml,0,0,0,25-Jun,0,0,1,,4 discs cut per leaf. Pairs between S and C.
286,L_QUPA2S_4W,L,QUPA,2,W,S,10,4,.2 ml,0,0,0,25-Jun,0,9.43E-05,1,,4 discs cut per leaf. Pairs between S and C.
287,L_QUPA2S_5W,L,QUPA,2,W,S,11,5,.2 ml,0,0,0,25-Jun,0,0.000141181,1,,4 discs cut per leaf. Pairs between S and C.
288,L_QUPA2S_6W,L,QUPA,2,W,S,12,6,.2 ml,0,0,0,25-Jun,0,5.76E-05,1,,4 discs cut per leaf. Pairs between S and C.
289,L_QUPA3S_1T,L,QUPA,3,T,S,1,1,.2 ml,0.3,24.3902439,0.26,25-Jun,1,NA,1,,4 discs cut per leaf. Pairs between S and C.waterQUPA3 photo missing
290,L_QUPA3S_2T,L,QUPA,3,T,S,2,2,.2 ml,1.1,89.43089431,0.38,25-Jun,0,NA,1,,4 discs cut per leaf. Pairs between S and C.QUPA3 photo missing
291,L_QUPA3S_3T,L,QUPA,3,T,S,3,3,.2 ml,1.1,89.43089431,0.48,25-Jun,0,NA,1,,4 discs cut per leaf. Pairs between S and C.QUPA3 photo missing
292,L_QUPA3S_4T,L,QUPA,3,T,S,4,4,.2 ml,0.95,77.23577236,0.3,25-Jun,0,NA,1,,4 discs cut per leaf. Pairs between S and C.QUPA3 photo missing
293,L_QUPA3S_5T,L,QUPA,3,T,S,5,5,.2 ml,0.27,21.95121951,0.31,25-Jun,0,NA,1,,4 discs cut per leaf. Pairs between S and C.QUPA3 photo missing
294,L_QUPA3S_6T,L,QUPA,3,T,S,6,6,.2 ml,0.7,56.91056911,0.58,25-Jun,0,NA,1,,4 discs cut per leaf. Pairs between S and C.QUPA3 photo missing
295,L_QUPA3S_1W,L,QUPA,3,W,S,7,1,.2 ml,0,0,0,25-Jun,1,NA,1,,4 discs cut per leaf. Pairs between S and C.waterQUPA3 photo missing
296,L_QUPA3S_2W,L,QUPA,3,W,S,8,2,.2 ml,0,0,0,25-Jun,0,NA,1,,4 discs cut per leaf. Pairs between S and C.QUPA3 photo missing
297,L_QUPA3S_3W,L,QUPA,3,W,S,9,3,.2 ml,0,0,0,25-Jun,0,NA,1,,4 discs cut per leaf. Pairs between S and C.QUPA3 photo missing
298,L_QUPA3S_4W,L,QUPA,3,W,S,10,4,.2 ml,0,0,0,25-Jun,0,NA,1,,4 discs cut per leaf. Pairs between S and C.QUPA3 photo missing
299,L_QUPA3S_5W,L,QUPA,3,W,S,11,5,.2 ml,0,0,0,25-Jun,0,NA,1,,4 discs cut per leaf. Pairs between S and C.QUPA3 photo missing
300,L_QUPA3S_6W,L,QUPA,3,W,S,12,6,.2 ml,0,0,0,25-Jun,0,NA,1,,4 discs cut per leaf. Pairs between S and C.QUPA3 photo missing
301,L_RHCA1S_1T,L,RHCA,1,T,S,1,1,.2 ml,2.55,207.3170732,0.6,25-Jun,1,0.86902,0,,water
302,L_RHCA1S_2T,L,RHCA,1,T,S,2,2,.2 ml,1.3,105.6910569,0.76,25-Jun,0,0.80204,0,,
303,L_RHCA1S_3T,L,RHCA,1,T,S,3,3,.2 ml,5.55,451.2195122,0.96,25-Jun,0,0.79117,0,,
304,L_RHCA1S_4T,L,RHCA,1,T,S,4,4,.2 ml,3.1,252.0325203,1.27,25-Jun,0,0.95292,0,,
305,L_RHCA1S_5T,L,RHCA,1,T,S,5,5,.2 ml,0.27,21.95121951,0.12,25-Jun,0,0.43135,0,,
306,L_RHCA1S_6T,L,RHCA,1,T,S,6,6,.2 ml,10.33,839.8373984,2.37,25-Jun,0,0.83197,0,,
307,L_RHCA1S_1W,L,RHCA,1,W,S,1,1,.2 ml,0,0,0,25-Jun,1,0.000449085,1,,water
308,L_RHCA1S_2W,L,RHCA,1,W,S,2,2,.2 ml,0,0,0,25-Jun,0,0.000570296,1,,
309,L_RHCA1S_3W,L,RHCA,1,W,S,3,3,.2 ml,0,0,0,25-Jun,0,0.000323694,1,,
310,L_RHCA1S_4W,L,RHCA,1,W,S,4,4,.2 ml,0,0,0,25-Jun,0,0.000272609,1,,
311,L_RHCA1S_5W,L,RHCA,1,W,S,5,5,.2 ml,0,0,0,25-Jun,0,0.000319979,1,,
312,L_RHCA1S_6W,L,RHCA,1,W,S,6,6,.2 ml,0,0,0,25-Jun,0,0.000538252,1,,
313,L_RHCA2S_1T,L,RHCA,2,T,S,1,1,.2 ml,0.35,28.45528455,0.19,25-Jun,1,0.18359,0,,water
314,L_RHCA2S_2T,L,RHCA,2,T,S,2,2,.2 ml,0.27,21.95121951,0.31,25-Jun,0,0.33326,0,,
315,L_RHCA2S_3T,L,RHCA,2,T,S,3,3,.2 ml,0.47,38.21138211,0.42,25-Jun,0,0.27673,0,,
316,L_RHCA2S_4T,L,RHCA,2,T,S,4,4,.2 ml,0.87,70.73170732,0.31,25-Jun,0,0.14836,0,,
317,L_RHCA2S_5T,L,RHCA,2,T,S,5,5,.2 ml,0.33,26.82926829,0.42,25-Jun,0,0.08267,0,,
318,L_RHCA2S_6T,L,RHCA,2,T,S,6,6,.2 ml,0.33,26.82926829,0.31,25-Jun,0,0.17027,0,,
319,L_RHCA2S_1W,L,RHCA,2,W,S,1,1,.2 ml,0,0,0,25-Jun,1,0.000903279,1,,water
320,L_RHCA2S_2W,L,RHCA,2,W,S,2,2,.2 ml,0,0,0,25-Jun,0,0.000116567,1,,
321,L_RHCA2S_3W,L,RHCA,2,W,S,3,3,.2 ml,0,0,0,25-Jun,0,0.000643673,1,,
322,L_RHCA2S_4W,L,RHCA,2,W,S,4,4,.2 ml,0,0,0,25-Jun,0,0.000421221,1,,
323,L_RHCA2S_5W,L,RHCA,2,W,S,5,5,.2 ml,0,0,0,25-Jun,0,0.000405431,1,,
324,L_RHCA2S_6W,L,RHCA,2,W,S,6,6,.2 ml,0,0,0,25-Jun,0,0.000613022,1,,
325,L_RHCA3S_1T,L,RHCA,3,T,S,1,1,.2 ml,0.2,16.2601626,0,25-Jun,1,0.000699403,1,,water
326,L_RHCA3S_2T,L,RHCA,3,T,S,2,2,.2 ml,0.07,5.691056911,0.12,25-Jun,0,1.95E-05,1,,
327,L_RHCA3S_3T,L,RHCA,3,T,S,3,3,.2 ml,0.13,10.56910569,0.12,25-Jun,0,0.000769064,1,,
328,L_RHCA3S_4T,L,RHCA,3,T,S,4,4,.2 ml,0.45,36.58536585,0.19,25-Jun,0,0.000243351,1,,
329,L_RHCA3S_5T,L,RHCA,3,T,S,5,5,.2 ml,0.33,26.82926829,0.23,25-Jun,0,0.000202483,1,,
330,L_RHCA3S_6T,L,RHCA,3,T,S,6,6,.2 ml,0.2,16.2601626,0.2,25-Jun,0,0.001034243,1,,
331,L_RHCA3S_1W,L,RHCA,3,W,S,1,1,.2 ml,0,0,0,25-Jun,1,0,1,,water
332,L_RHCA3S_2W,L,RHCA,3,W,S,2,2,.2 ml,0,0,0,20-Jul,0,0,1,,
333,L_RHCA3S_3W,L,RHCA,3,W,S,3,3,.2 ml,0,0,0,20-Jul,0,0,1,,
334,L_RHCA3S_4W,L,RHCA,3,W,S,4,4,.2 ml,0,0,0,20-Jul,0,0,1,,
335,L_RHCA3S_5W,L,RHCA,3,W,S,5,5,.2 ml,0,0,0,20-Jul,0,0,1,,
336,L_RHCA3S_6W,L,RHCA,3,W,S,6,6,.2 ml,0,0,0,20-Jul,0,0,1,,
337,L_TODI1S_1T,L,TODI,1,T,S,1,1,.2 ml,1.15,93.49593496,0.41,25-Jun,0,0.49411,0,,"water, need to recheck TODI. Sporangia maybe brown?"
338,L_TODI1S_2T,L,TODI,1,T,S,2,2,.2 ml,0.13,10.56910569,0.12,25-Jun,0,0.52667,0,,
339,L_TODI1S_3T,L,TODI,1,T,S,3,3,.2 ml,3.6,292.6829268,0.2,25-Jun,0,0.59085,0,,
340,L_TODI1S_4T,L,TODI,1,T,S,4,4,.2 ml,1.33,108.1300813,0.76,25-Jun,0,0.68527,0,,
341,L_TODI1S_5T,L,TODI,1,T,S,5,5,.2 ml,0.07,5.691056911,0.12,25-Jun,0,0.87147,0,,
342,L_TODI1S_6T,L,TODI,1,T,S,6,6,.2 ml,1.6,130.0813008,0.4,25-Jun,0,0.37128,0,,
343,L_TODI1S_1W,L,TODI,1,W,S,1,1,.2 ml,0,0,0,25-Jun,1,0,1,,water
344,L_TODI1S_2W,L,TODI,1,W,S,2,2,.2 ml,0,0,0,20-Jul,0,0.001882721,1,,
345,L_TODI1S_3W,L,TODI,1,W,S,3,3,.2 ml,0,0,0,20-Jul,0,0.000238243,1,,
346,L_TODI1S_4W,L,TODI,1,W,S,4,4,.2 ml,0,0,0,20-Jul,0,0,1,,
347,L_TODI1S_5W,L,TODI,1,W,S,5,5,.2 ml,0,0,0,20-Jul,0,0.000107743,1,,
348,L_TODI1S_6W,L,TODI,1,W,S,6,6,.2 ml,0,0,0,20-Jul,0,7.15E-05,1,,
349,L_TODI2S_1T,L,TODI,2,T,S,1,1,.2 ml,1.25,101.6260163,0.5,25-Jun,1,0.00511084,1,,waterdone manually
350,L_TODI2S_2T,L,TODI,2,T,S,2,2,.2 ml,8.93,726.0162602,0.31,25-Jun,0,0.5917,0,,
351,L_TODI2S_3T,L,TODI,2,T,S,3,3,.2 ml,2.2,178.8617886,0.2,25-Jun,0,0.5429,0,,
352,L_TODI2S_4T,L,TODI,2,T,S,4,4,.2 ml,1.93,156.9105691,0.5,25-Jun,0,0.20276,0,,
353,L_TODI2S_5T,L,TODI,2,T,S,5,5,.2 ml,0.53,43.08943089,0.12,25-Jun,0,0.10963,0,,
354,L_TODI2S_6T,L,TODI,2,T,S,6,6,.2 ml,0.07,5.691056911,0.12,25-Jun,0,0.08469,0,,
355,L_TODI2S_1W,L,TODI,2,W,S,1,1,.2 ml,0,0,0,25-Jun,1,0.000103099,1,,water
356,L_TODI2S_2W,L,TODI,2,W,S,2,2,.2 ml,0,0,0,20-Jul,0,0.000256355,1,,
357,L_TODI2S_3W,L,TODI,2,W,S,3,3,.2 ml,0,0,0,20-Jul,0,9.94E-05,1,,
358,L_TODI2S_4W,L,TODI,2,W,S,4,4,.2 ml,0,0,0,20-Jul,0,2.55E-05,1,,
359,L_TODI2S_5W,L,TODI,2,W,S,5,5,.2 ml,0,0,0,20-Jul,0,4.18E-05,1,,
360,L_TODI2S_6W,L,TODI,2,W,S,6,6,.2 ml,0,0,0,20-Jul,0,8.27E-05,1,,
361,L_TODI3S_1T,L,TODI,3,T,S,1,1,.2 ml,0.75,60.97560976,0.38,25-Jun,1,0.45238,0,,water
362,L_TODI3S_2T,L,TODI,3,T,S,2,2,.2 ml,0.4,32.5203252,0.35,25-Jun,0,0.35461,0,,
363,L_TODI3S_3T,L,TODI,3,T,S,3,3,.2 ml,0.13,10.56910569,0.12,25-Jun,0,0.26899,0,,
364,L_TODI3S_4T,L,TODI,3,T,S,4,4,.2 ml,0.67,54.47154472,0.31,25-Jun,0,0.34018,0,,
365,L_TODI3S_5T,L,TODI,3,T,S,5,5,.2 ml,0,0,0,25-Jun,0,0.14738,0,,
366,L_TODI3S_6T,L,TODI,3,T,S,6,6,.2 ml,1.93,156.9105691,0.9,25-Jun,0,0.88493,0,,
367,L_TODI3S_1W,L,TODI,3,W,S,1,1,.2 ml,0,0,0,25-Jun,1,6.36E-05,1,,water
368,L_TODI3S_2W,L,TODI,3,W,S,2,2,.2 ml,0,0,0,20-Jul,0,0.000187158,1,,
369,L_TODI3S_3W,L,TODI,3,W,S,3,3,.2 ml,0,0,0,20-Jul,0,0,1,,
370,L_TODI3S_4W,L,TODI,3,W,S,4,4,.2 ml,0,0,0,20-Jul,0,0.000137001,1,,
371,L_TODI3S_5W,L,TODI,3,W,S,5,5,.2 ml,0,0,0,20-Jul,0,6.13E-05,1,,only 1 leaf disc here = sporangia
372,L_TODI3S_6W,L,TODI,3,W,S,6,6,.2 ml,0,0,0,20-Jul,0,0.000302796,1,,
373,L_UMCA1S_1T,L,UMCA,1,T,S,1,1,.2 ml,0.1,8.130081301,0.12,25-Jun,0,0.44567,0,,Kayla's first samples...water
374,L_UMCA1S_2T,L,UMCA,1,T,S,2,2,.2 ml,0.1,8.130081301,0.2,25-Jun,0,0.52585,0,,
375,L_UMCA1S_3T,L,UMCA,1,T,S,3,3,.2 ml,0.25,20.32520325,0.1,25-Jun,0,0.37487,0,,
376,L_UMCA1S_4T,L,UMCA,1,T,S,4,4,.2 ml,1.85,150.4065041,0.9,25-Jun,0,0.99388,0,,
377,L_UMCA1S_5T,L,UMCA,1,T,S,5,5,.2 ml,2.05,166.6666667,0.53,25-Jun,0,0.57435,0,,
378,L_UMCA1S_6T,L,UMCA,1,T,S,6,6,.2 ml,1.15,93.49593496,0.1,25-Jun,0,0.66291,0,,
379,L_UMCA1S_1W,L,UMCA,1,W,S,1,1,.2 ml,0,0,0,25-Jun,1,0,1,,water
380,L_UMCA1S_2W,L,UMCA,1,W,S,2,2,.2 ml,0,0,0,20-Jul,0,0,1,,
381,L_UMCA1S_3W,L,UMCA,1,W,S,3,3,.2 ml,0,0,0,20-Jul,0,0,1,,
382,L_UMCA1S_4W,L,UMCA,1,W,S,4,4,.2 ml,0,0,0,20-Jul,0,0,1,,
383,L_UMCA1S_5W,L,UMCA,1,W,S,5,5,.2 ml,0,0,0,20-Jul,0,0,1,,
384,L_UMCA1S_6W,L,UMCA,1,W,S,6,6,.2 ml,0,0,0,20-Jul,0,0,1,,
385,L_UMCA2S_1T,L,UMCA,2,T,S,1,1,.2 ml,6.6,536.5853659,2.29,25-Jun,0,0.74087,0,,"water, super goopy"
386,L_UMCA2S_2T,L,UMCA,2,T,S,2,2,.2 ml,3.7,300.8130081,0.66,25-Jun,0,0.34149,0,,
387,L_UMCA2S_3T,L,UMCA,2,T,S,3,3,.2 ml,5.33,433.3333333,0.46,25-Jun,0,0.79237,0,,"too goopy, diluted 1:3 numbers are already standardized"
388,L_UMCA2S_4T,L,UMCA,2,T,S,4,4,.2 ml,3.7,300.8130081,0.74,25-Jun,0,0.66487,0,,
389,L_UMCA2S_5T,L,UMCA,2,T,S,5,5,.2 ml,2.3,186.9918699,2.19,25-Jun,0,0.78311,0,,
390,L_UMCA2S_6T,L,UMCA,2,T,S,6,6,.2 ml,1.35,109.7560976,0.47,25-Jun,0,0.74574,0,,
391,L_UMCA2S_1W,L,UMCA,2,W,S,1,1,.2 ml,0,0,0,25-Jun,1,0,1,,water
392,L_UMCA2S_2W,L,UMCA,2,W,S,2,2,.2 ml,0,0,0,25-Jun,0,0,1,,
393,L_UMCA2S_3W,L,UMCA,2,W,S,3,3,.2 ml,0,0,0,25-Jun,0,0,1,,
394,L_UMCA2S_4W,L,UMCA,2,W,S,4,4,.2 ml,0,0,0,25-Jun,0,0,1,,
395,L_UMCA2S_5W,L,UMCA,2,W,S,5,5,.2 ml,0,0,0,25-Jun,0,0,1,,
396,L_UMCA2S_6W,L,UMCA,2,W,S,6,6,.2 ml,0,0,0,25-Jun,0,0,1,,
397,L_UMCA3S_1T,L,UMCA,3,T,S,1,1,.2 ml,0.35,28.45528455,0.19,25-Jun,1,0.62301,0,,water
398,L_UMCA3S_2T,L,UMCA,3,T,S,2,2,.2 ml,0.4,32.5203252,0.16,25-Jun,0,0.001131769,1,,done manually
399,L_UMCA3S_3T,L,UMCA,3,T,S,3,3,.2 ml,10.83,880.4878049,3.49,25-Jun,0,1,1,,goopy. counted last 3 in 3 uldone manually
400,L_UMCA3S_4T,L,UMCA,3,T,S,4,4,.2 ml,0.9,73.17073171,0.42,25-Jun,0,0.61529,0,,
401,L_UMCA3S_5T,L,UMCA,3,T,S,5,5,.2 ml,2.25,182.9268293,0.47,25-Jun,0,0.84185,0,,
402,L_UMCA3S_6T,L,UMCA,3,T,S,6,6,.2 ml,2.5,203.2520325,0.74,25-Jun,0,0.65918,0,,
403,L_UMCA3S_1W,L,UMCA,3,W,S,1,1,.2 ml,0,0,0,25-Jun,1,0,1,,water
404,L_UMCA3S_2W,L,UMCA,3,W,S,2,2,.2 ml,0,0,0,25-Jun,0,0,1,,
405,L_UMCA3S_3W,L,UMCA,3,W,S,3,3,.2 ml,0,0,0,25-Jun,0,0,1,,
406,L_UMCA3S_4W,L,UMCA,3,W,S,4,4,.2 ml,0,0,0,25-Jun,0,0,1,,
407,L_UMCA3S_5W,L,UMCA,3,W,S,5,5,.2 ml,0,0,0,25-Jun,0,0,1,,
408,L_UMCA3S_6W,L,UMCA,3,W,S,6,6,.2 ml,0,0,0,25-Jun,0,0,1,,
