sample,code,assay,species,ind,trt,spore,rep,p.area,manual,Notes_lesions
770,L_QUCH1C_2T,L,QUCH,1,T,C,2,0,1,
794,L_QUCH3C_2T,L,QUCH,3,T,C,2,0,1,
795,L_QUCH3C_3T,L,QUCH,3,T,C,3,0,1,
796,L_QUCH3C_4T,L,QUCH,3,T,C,4,0,1,
773,L_QUCH1C_5T,L,QUCH,1,T,C,5,0,1,
785,L_QUCH2C_5T,L,QUCH,2,T,C,5,0,1,
786,L_QUCH2C_6T,L,QUCH,2,T,C,6,0,1,
798,L_QUCH3C_6T,L,QUCH,3,T,C,6,0,1,
787,L_QUCH2C_1W,L,QUCH,2,W,C,1,0,1,
788,L_QUCH2C_2W,L,QUCH,2,W,C,2,0,1,
801,L_QUCH3C_3W,L,QUCH,3,W,C,3,0,1,
802,L_QUCH3C_4W,L,QUCH,3,W,C,4,0,1,
791,L_QUCH2C_5W,L,QUCH,2,W,C,5,0,1,
804,L_QUCH3C_6W,L,QUCH,3,W,C,6,0,1,
823,L_QUKE2C_1W,L,QUKE,2,W,C,1,0,1,
835,L_QUKE3C_1W,L,QUKE,3,W,C,1,0,1,
812,L_QUKE1C_2W,L,QUKE,1,W,C,2,0,1,
836,L_QUKE3C_2W,L,QUKE,3,W,C,2,0,1,
826,L_QUKE2C_4W,L,QUKE,2,W,C,4,0,1,
838,L_QUKE3C_4W,L,QUKE,3,W,C,4,0,1,
815,L_QUKE1C_5W,L,QUKE,1,W,C,5,0,1,
827,L_QUKE2C_5W,L,QUKE,2,W,C,5,0,1,
839,L_QUKE3C_5W,L,QUKE,3,W,C,5,0,1,
816,L_QUKE1C_6W,L,QUKE,1,W,C,6,0,1,
840,L_QUKE3C_6W,L,QUKE,3,W,C,6,0,1,
841,L_QUPA1C_1T,L,QUPA,1,T,C,1,0,1,
844,L_QUPA1C_4T,L,QUPA,1,T,C,4,0,1,
845,L_QUPA1C_5T,L,QUPA,1,T,C,5,0,1,
846,L_QUPA1C_6T,L,QUPA,1,T,C,6,0,1,
847,L_QUPA1C_1W,L,QUPA,1,W,C,1,0,1,
859,L_QUPA2C_1W,L,QUPA,2,W,C,1,0,1,
848,L_QUPA1C_2W,L,QUPA,1,W,C,2,0,1,
860,L_QUPA2C_2W,L,QUPA,2,W,C,2,0,1,
849,L_QUPA1C_3W,L,QUPA,1,W,C,3,0,1,
861,L_QUPA2C_3W,L,QUPA,2,W,C,3,0,1,
850,L_QUPA1C_4W,L,QUPA,1,W,C,4,0,1,
851,L_QUPA1C_5W,L,QUPA,1,W,C,5,0,1,
852,L_QUPA1C_6W,L,QUPA,1,W,C,6,0,1,
907,L_RHCA3C_1W,L,RHCA,3,W,C,1,0,1,
908,L_RHCA3C_2W,L,RHCA,3,W,C,2,0,1,
909,L_RHCA3C_3W,L,RHCA,3,W,C,3,0,1,
910,L_RHCA3C_4W,L,RHCA,3,W,C,4,0,1,
911,L_RHCA3C_5W,L,RHCA,3,W,C,5,0,1,
912,L_RHCA3C_6W,L,RHCA,3,W,C,6,0,1,
933,L_TODI2C_3W,L,TODI,2,W,C,3,0,1,
922,L_TODI1C_4W,L,TODI,1,W,C,4,0,1,
923,L_TODI1C_5W,L,TODI,1,W,C,5,0,1,
936,L_TODI2C_6W,L,TODI,2,W,C,6,0,1,
974,L_UMCA3C_2T,L,UMCA,3,T,C,2,0,1,done manually
952,L_UMCA1C_4T,L,UMCA,1,T,C,4,0,1,done manually
955,L_UMCA1C_1W,L,UMCA,1,W,C,1,0,1,
967,L_UMCA2C_1W,L,UMCA,2,W,C,1,0,1,
979,L_UMCA3C_1W,L,UMCA,3,W,C,1,0,1,
956,L_UMCA1C_2W,L,UMCA,1,W,C,2,0,1,
968,L_UMCA2C_2W,L,UMCA,2,W,C,2,0,1,
980,L_UMCA3C_2W,L,UMCA,3,W,C,2,0,1,
957,L_UMCA1C_3W,L,UMCA,1,W,C,3,0,1,
969,L_UMCA2C_3W,L,UMCA,2,W,C,3,0,1,
981,L_UMCA3C_3W,L,UMCA,3,W,C,3,0,1,
958,L_UMCA1C_4W,L,UMCA,1,W,C,4,0,1,
970,L_UMCA2C_4W,L,UMCA,2,W,C,4,0,1,
982,L_UMCA3C_4W,L,UMCA,3,W,C,4,0,1,
959,L_UMCA1C_5W,L,UMCA,1,W,C,5,0,1,
971,L_UMCA2C_5W,L,UMCA,2,W,C,5,0,1,
983,L_UMCA3C_5W,L,UMCA,3,W,C,5,0,1,
960,L_UMCA1C_6W,L,UMCA,1,W,C,6,0,1,
972,L_UMCA2C_6W,L,UMCA,2,W,C,6,0,1,
984,L_UMCA3C_6W,L,UMCA,3,W,C,6,0,1,
993,L_VAOV1C_3W,L,VAOV,1,W,C,3,0,1,
994,L_VAOV1C_4W,L,VAOV,1,W,C,4,0,1,
995,L_VAOV1C_5W,L,VAOV,1,W,C,5,0,1,
1008,L_VAOV2C_6W,L,VAOV,2,W,C,6,0,1,
1141,D_LIDE1C_1T,D,LIDE,1,T,C,1,NA,0,
1142,D_LIDE1C_2T,D,LIDE,1,T,C,2,NA,0,
1143,D_LIDE1C_3T,D,LIDE,1,T,C,3,NA,0,
1144,D_LIDE1C_4T,D,LIDE,1,T,C,4,NA,0,
1145,D_LIDE1C_5T,D,LIDE,1,T,C,5,NA,0,
1146,D_LIDE1C_6T,D,LIDE,1,T,C,6,NA,0,
1147,D_LIDE1C_1W,D,LIDE,1,W,C,1,NA,0,
1148,D_LIDE1C_2W,D,LIDE,1,W,C,2,NA,0,
1149,D_LIDE1C_3W,D,LIDE,1,W,C,3,NA,0,
1150,D_LIDE1C_4W,D,LIDE,1,W,C,4,NA,0,
1151,D_LIDE1C_5W,D,LIDE,1,W,C,5,NA,0,
1152,D_LIDE1C_6W,D,LIDE,1,W,C,6,NA,0,
1093,D_PIPO1C_1T,D,PIPO,1,T,C,1,NA,0,
1105,D_PIPO2C_1T,D,PIPO,2,T,C,1,NA,0,
1117,D_PIPO3C_1T,D,PIPO,3,T,C,1,NA,0,
1094,D_PIPO1C_2T,D,PIPO,1,T,C,2,NA,0,
1106,D_PIPO2C_2T,D,PIPO,2,T,C,2,NA,0,
1118,D_PIPO3C_2T,D,PIPO,3,T,C,2,NA,0,
1095,D_PIPO1C_3T,D,PIPO,1,T,C,3,NA,0,
1107,D_PIPO2C_3T,D,PIPO,2,T,C,3,NA,0,
1119,D_PIPO3C_3T,D,PIPO,3,T,C,3,NA,0,
1096,D_PIPO1C_4T,D,PIPO,1,T,C,4,NA,0,
1108,D_PIPO2C_4T,D,PIPO,2,T,C,4,NA,0,
1120,D_PIPO3C_4T,D,PIPO,3,T,C,4,NA,0,
1097,D_PIPO1C_5T,D,PIPO,1,T,C,5,NA,0,
1109,D_PIPO2C_5T,D,PIPO,2,T,C,5,NA,0,
1121,D_PIPO3C_5T,D,PIPO,3,T,C,5,NA,0,
1098,D_PIPO1C_6T,D,PIPO,1,T,C,6,NA,0,
1110,D_PIPO2C_6T,D,PIPO,2,T,C,6,NA,0,
1122,D_PIPO3C_6T,D,PIPO,3,T,C,6,NA,0,
1099,D_PIPO1C_1W,D,PIPO,1,W,C,1,NA,0,
1111,D_PIPO2C_1W,D,PIPO,2,W,C,1,NA,0,
1123,D_PIPO3C_1W,D,PIPO,3,W,C,1,NA,0,
1100,D_PIPO1C_2W,D,PIPO,1,W,C,2,NA,0,
1112,D_PIPO2C_2W,D,PIPO,2,W,C,2,NA,0,
1124,D_PIPO3C_2W,D,PIPO,3,W,C,2,NA,0,
1101,D_PIPO1C_3W,D,PIPO,1,W,C,3,NA,0,
1113,D_PIPO2C_3W,D,PIPO,2,W,C,3,NA,0,
1125,D_PIPO3C_3W,D,PIPO,3,W,C,3,NA,0,
1102,D_PIPO1C_4W,D,PIPO,1,W,C,4,NA,0,
1114,D_PIPO2C_4W,D,PIPO,2,W,C,4,NA,0,
1126,D_PIPO3C_4W,D,PIPO,3,W,C,4,NA,0,
1103,D_PIPO1C_5W,D,PIPO,1,W,C,5,NA,0,
1115,D_PIPO2C_5W,D,PIPO,2,W,C,5,NA,0,
1127,D_PIPO3C_5W,D,PIPO,3,W,C,5,NA,0,
1104,D_PIPO1C_6W,D,PIPO,1,W,C,6,NA,0,
1116,D_PIPO2C_6W,D,PIPO,2,W,C,6,NA,0,
1128,D_PIPO3C_6W,D,PIPO,3,W,C,6,NA,0,
1057,D_PSME1C_1T,D,PSME,1,T,C,1,NA,0,
1069,D_PSME2C_1T,D,PSME,2,T,C,1,NA,0,
1081,D_PSME3C_1T,D,PSME,3,T,C,1,NA,0,
1058,D_PSME1C_2T,D,PSME,1,T,C,2,NA,0,
1070,D_PSME2C_2T,D,PSME,2,T,C,2,NA,0,
1082,D_PSME3C_2T,D,PSME,3,T,C,2,NA,0,
1059,D_PSME1C_3T,D,PSME,1,T,C,3,NA,0,
1071,D_PSME2C_3T,D,PSME,2,T,C,3,NA,0,
1083,D_PSME3C_3T,D,PSME,3,T,C,3,NA,0,
1060,D_PSME1C_4T,D,PSME,1,T,C,4,NA,0,
1072,D_PSME2C_4T,D,PSME,2,T,C,4,NA,0,
1084,D_PSME3C_4T,D,PSME,3,T,C,4,NA,0,
1061,D_PSME1C_5T,D,PSME,1,T,C,5,NA,0,
1073,D_PSME2C_5T,D,PSME,2,T,C,5,NA,0,
1085,D_PSME3C_5T,D,PSME,3,T,C,5,NA,0,
1062,D_PSME1C_6T,D,PSME,1,T,C,6,NA,0,
1074,D_PSME2C_6T,D,PSME,2,T,C,6,NA,0,
1086,D_PSME3C_6T,D,PSME,3,T,C,6,NA,0,
1063,D_PSME1C_1W,D,PSME,1,W,C,1,NA,0,
1075,D_PSME2C_1W,D,PSME,2,W,C,1,NA,0,
1087,D_PSME3C_1W,D,PSME,3,W,C,1,NA,0,
1064,D_PSME1C_2W,D,PSME,1,W,C,2,NA,0,
1076,D_PSME2C_2W,D,PSME,2,W,C,2,NA,0,
1088,D_PSME3C_2W,D,PSME,3,W,C,2,NA,0,
1065,D_PSME1C_3W,D,PSME,1,W,C,3,NA,0,
1077,D_PSME2C_3W,D,PSME,2,W,C,3,NA,0,
1089,D_PSME3C_3W,D,PSME,3,W,C,3,NA,0,
1066,D_PSME1C_4W,D,PSME,1,W,C,4,NA,0,
1078,D_PSME2C_4W,D,PSME,2,W,C,4,NA,0,
1090,D_PSME3C_4W,D,PSME,3,W,C,4,NA,0,
1067,D_PSME1C_5W,D,PSME,1,W,C,5,NA,0,
1079,D_PSME2C_5W,D,PSME,2,W,C,5,NA,0,
1091,D_PSME3C_5W,D,PSME,3,W,C,5,NA,0,
1068,D_PSME1C_6W,D,PSME,1,W,C,6,NA,0,
1080,D_PSME2C_6W,D,PSME,2,W,C,6,NA,0,
1092,D_PSME3C_6W,D,PSME,3,W,C,6,NA,0,
1021,D_SESE1C_1T,D,SESE,1,T,C,1,NA,0,
1033,D_SESE2C_1T,D,SESE,2,T,C,1,NA,0,
1045,D_SESE3C_1T,D,SESE,3,T,C,1,NA,0,
1022,D_SESE1C_2T,D,SESE,1,T,C,2,NA,0,
1034,D_SESE2C_2T,D,SESE,2,T,C,2,NA,0,
1046,D_SESE3C_2T,D,SESE,3,T,C,2,NA,0,
1023,D_SESE1C_3T,D,SESE,1,T,C,3,NA,0,
1035,D_SESE2C_3T,D,SESE,2,T,C,3,NA,0,
1047,D_SESE3C_3T,D,SESE,3,T,C,3,NA,0,
1024,D_SESE1C_4T,D,SESE,1,T,C,4,NA,0,
1036,D_SESE2C_4T,D,SESE,2,T,C,4,NA,0,
1048,D_SESE3C_4T,D,SESE,3,T,C,4,NA,0,
1025,D_SESE1C_5T,D,SESE,1,T,C,5,NA,0,
1037,D_SESE2C_5T,D,SESE,2,T,C,5,NA,0,
1049,D_SESE3C_5T,D,SESE,3,T,C,5,NA,0,
1026,D_SESE1C_6T,D,SESE,1,T,C,6,NA,0,
1038,D_SESE2C_6T,D,SESE,2,T,C,6,NA,0,
1050,D_SESE3C_6T,D,SESE,3,T,C,6,NA,0,
1027,D_SESE1C_1W,D,SESE,1,W,C,1,NA,0,
1039,D_SESE2C_1W,D,SESE,2,W,C,1,NA,0,
1051,D_SESE3C_1W,D,SESE,3,W,C,1,NA,0,
1028,D_SESE1C_2W,D,SESE,1,W,C,2,NA,0,
1040,D_SESE2C_2W,D,SESE,2,W,C,2,NA,0,
1052,D_SESE3C_2W,D,SESE,3,W,C,2,NA,0,
1029,D_SESE1C_3W,D,SESE,1,W,C,3,NA,0,
1041,D_SESE2C_3W,D,SESE,2,W,C,3,NA,0,
1053,D_SESE3C_3W,D,SESE,3,W,C,3,NA,0,
1030,D_SESE1C_4W,D,SESE,1,W,C,4,NA,0,
1042,D_SESE2C_4W,D,SESE,2,W,C,4,NA,0,
1054,D_SESE3C_4W,D,SESE,3,W,C,4,NA,0,
1031,D_SESE1C_5W,D,SESE,1,W,C,5,NA,0,
1043,D_SESE2C_5W,D,SESE,2,W,C,5,NA,0,
1055,D_SESE3C_5W,D,SESE,3,W,C,5,NA,0,
1032,D_SESE1C_6W,D,SESE,1,W,C,6,NA,0,
1044,D_SESE2C_6W,D,SESE,2,W,C,6,NA,0,
1056,D_SESE3C_6W,D,SESE,3,W,C,6,NA,0,
1129,D_UMCA1C_1T,D,UMCA,1,T,C,1,NA,0,
1130,D_UMCA1C_2T,D,UMCA,1,T,C,2,NA,0,
1131,D_UMCA1C_3T,D,UMCA,1,T,C,3,NA,0,
1132,D_UMCA1C_4T,D,UMCA,1,T,C,4,NA,0,
1133,D_UMCA1C_5T,D,UMCA,1,T,C,5,NA,0,
1134,D_UMCA1C_6T,D,UMCA,1,T,C,6,NA,0,
1135,D_UMCA1C_1W,D,UMCA,1,W,C,1,NA,0,
1136,D_UMCA1C_2W,D,UMCA,1,W,C,2,NA,0,
1137,D_UMCA1C_3W,D,UMCA,1,W,C,3,NA,0,
1138,D_UMCA1C_4W,D,UMCA,1,W,C,4,NA,0,
1139,D_UMCA1C_5W,D,UMCA,1,W,C,5,NA,0,
1140,D_UMCA1C_6W,D,UMCA,1,W,C,6,NA,0,
61,L_ARME3S_1T,L,ARME,3,T,S,1,NA,1,ARME 3 photo missing
62,L_ARME3S_2T,L,ARME,3,T,S,2,NA,1,ARME 3 photo missing
63,L_ARME3S_3T,L,ARME,3,T,S,3,NA,1,ARME 3 photo missing
64,L_ARME3S_4T,L,ARME,3,T,S,4,NA,1,ARME 3 photo missing
65,L_ARME3S_5T,L,ARME,3,T,S,5,NA,1,ARME 3 photo missing
66,L_ARME3S_6T,L,ARME,3,T,S,6,NA,1,ARME 3 photo missing
67,L_ARME3S_1W,L,ARME,3,W,S,1,NA,1,ARME 3 photo missing
68,L_ARME3S_2W,L,ARME,3,W,S,2,NA,1,ARME 3 photo missing
69,L_ARME3S_3W,L,ARME,3,W,S,3,NA,1,ARME 3 photo missing
70,L_ARME3S_4W,L,ARME,3,W,S,4,NA,1,ARME 3 photo missing
71,L_ARME3S_5W,L,ARME,3,W,S,5,NA,1,ARME 3 photo missing
72,L_ARME3S_6W,L,ARME,3,W,S,6,NA,1,ARME 3 photo missing
289,L_QUPA3S_1T,L,QUPA,3,T,S,1,NA,1,QUPA3 photo missing
290,L_QUPA3S_2T,L,QUPA,3,T,S,2,NA,1,QUPA3 photo missing
291,L_QUPA3S_3T,L,QUPA,3,T,S,3,NA,1,QUPA3 photo missing
292,L_QUPA3S_4T,L,QUPA,3,T,S,4,NA,1,QUPA3 photo missing
293,L_QUPA3S_5T,L,QUPA,3,T,S,5,NA,1,QUPA3 photo missing
294,L_QUPA3S_6T,L,QUPA,3,T,S,6,NA,1,QUPA3 photo missing
295,L_QUPA3S_1W,L,QUPA,3,W,S,1,NA,1,QUPA3 photo missing
296,L_QUPA3S_2W,L,QUPA,3,W,S,2,NA,1,QUPA3 photo missing
297,L_QUPA3S_3W,L,QUPA,3,W,S,3,NA,1,QUPA3 photo missing
298,L_QUPA3S_4W,L,QUPA,3,W,S,4,NA,1,QUPA3 photo missing
299,L_QUPA3S_5W,L,QUPA,3,W,S,5,NA,1,QUPA3 photo missing
300,L_QUPA3S_6W,L,QUPA,3,W,S,6,NA,1,QUPA3 photo missing
1,L_ACMA1S_1T,L,ACMA,1,T,S,1,1,1,"done manually. lesions were light, but def entire leaf area"
13,L_ACMA2S_1T,L,ACMA,2,T,S,1,1,1,"lesion area appears spread out across entire disc, but faint...done manually"
25,L_ACMA3S_1T,L,ACMA,3,T,S,1,1,1,"lesion area appears spread out across entire disc, but faint...done manually"
14,L_ACMA2S_2T,L,ACMA,2,T,S,2,1,1,
26,L_ACMA3S_2T,L,ACMA,3,T,S,2,1,1,done manually
27,L_ACMA3S_3T,L,ACMA,3,T,S,3,1,1,done manually
16,L_ACMA2S_4T,L,ACMA,2,T,S,4,1,1,
28,L_ACMA3S_4T,L,ACMA,3,T,S,4,1,1,done manually
17,L_ACMA2S_5T,L,ACMA,2,T,S,5,1,1,
29,L_ACMA3S_5T,L,ACMA,3,T,S,5,1,1,done manually
18,L_ACMA2S_6T,L,ACMA,2,T,S,6,1,1,
30,L_ACMA3S_6T,L,ACMA,3,T,S,6,1,1,done manually
90,L_HEAR1S_6T,L,HEAR,1,T,S,6,1,1,"done manually. lesions were light, but def entire leaf area"
121,L_LIDE1S_1T,L,LIDE,1,T,S,1,1,1,done manually. def entire leaf area
122,L_LIDE1S_2T,L,LIDE,1,T,S,2,1,1,
123,L_LIDE1S_3T,L,LIDE,1,T,S,3,1,1,
124,L_LIDE1S_4T,L,LIDE,1,T,S,4,1,1,
125,L_LIDE1S_5T,L,LIDE,1,T,S,5,1,1,
149,L_LIDE3S_5T,L,LIDE,3,T,S,5,1,1,"leaf disc not circular, done manually"
126,L_LIDE1S_6T,L,LIDE,1,T,S,6,1,1,
150,L_LIDE3S_6T,L,LIDE,3,T,S,6,1,1,"done manually, but lesions def covered entire leaf area"
170,L_QUAG2S_2T,L,QUAG,2,T,S,2,1,1,entire leaf area covered
176,L_QUAG2S_2W,L,QUAG,2,W,S,2,1,1,
399,L_UMCA3S_3T,L,UMCA,3,T,S,3,1,1,done manually
421,L_VAOV2S_1T,L,VAOV,2,T,S,1,1,1,"done manually, 100% of surface clearly covered"
434,L_VAOV3S_2T,L,VAOV,3,T,S,2,1,1,
435,L_VAOV3S_3T,L,VAOV,3,T,S,3,1,1,
424,L_VAOV2S_4T,L,VAOV,2,T,S,4,1,1,100% of surface covered
425,L_VAOV2S_5T,L,VAOV,2,T,S,5,1,1,100% of surface covered
426,L_VAOV2S_6T,L,VAOV,2,T,S,6,1,1,100% of surface covered
427,L_VAOV2S_1W,L,VAOV,2,W,S,1,1,1,"done manually, 100% of surface clearly covered"
428,L_VAOV2S_2W,L,VAOV,2,W,S,2,1,1,100% of surface covered
431,L_VAOV2S_5W,L,VAOV,2,W,S,5,1,1,100% of surface covered
376,L_UMCA1S_4T,L,UMCA,1,T,S,4,0.99388,0,
148,L_LIDE3S_4T,L,LIDE,3,T,S,4,0.98164,0,
147,L_LIDE3S_3T,L,LIDE,3,T,S,3,0.96865,0,
146,L_LIDE3S_2T,L,LIDE,3,T,S,2,0.96827,0,
304,L_RHCA1S_4T,L,RHCA,1,T,S,4,0.95292,0,
52,L_ARME2S_4T,L,ARME,2,T,S,4,0.91328,0,
366,L_TODI3S_6T,L,TODI,3,T,S,6,0.88493,0,
5,L_ACMA1S_5T,L,ACMA,1,T,S,5,0.87241,0,
341,L_TODI1S_5T,L,TODI,1,T,S,5,0.87147,0,
301,L_RHCA1S_1T,L,RHCA,1,T,S,1,0.86902,0,
401,L_UMCA3S_5T,L,UMCA,3,T,S,5,0.84185,0,
15,L_ACMA2S_3T,L,ACMA,2,T,S,3,0.833,0,
306,L_RHCA1S_6T,L,RHCA,1,T,S,6,0.83197,0,
49,L_ARME2S_1T,L,ARME,2,T,S,1,0.83153,0,
302,L_RHCA1S_2T,L,RHCA,1,T,S,2,0.80204,0,
114,L_HEAR3S_6T,L,HEAR,3,T,S,6,0.80036,0,
387,L_UMCA2S_3T,L,UMCA,2,T,S,3,0.79237,0,
303,L_RHCA1S_3T,L,RHCA,1,T,S,3,0.79117,0,
389,L_UMCA2S_5T,L,UMCA,2,T,S,5,0.78311,0,
40,L_ARME1S_4T,L,ARME,1,T,S,4,0.77061,0,
390,L_UMCA2S_6T,L,UMCA,2,T,S,6,0.74574,0,
385,L_UMCA2S_1T,L,UMCA,2,T,S,1,0.74087,0,
410,L_VAOV1S_2T,L,VAOV,1,T,S,2,0.71258,0,
50,L_ARME2S_2T,L,ARME,2,T,S,2,0.70099,0,
340,L_TODI1S_4T,L,TODI,1,T,S,4,0.68527,0,
440,L_VAOV3S_2W,L,VAOV,3,W,S,2,0.68149,0,
174,L_QUAG2S_6T,L,QUAG,2,T,S,6,0.68087,0,
51,L_ARME2S_3T,L,ARME,2,T,S,3,0.66571,0,
388,L_UMCA2S_4T,L,UMCA,2,T,S,4,0.66487,0,
378,L_UMCA1S_6T,L,UMCA,1,T,S,6,0.66291,0,
429,L_VAOV2S_3W,L,VAOV,2,W,S,3,0.65924,0,
402,L_UMCA3S_6T,L,UMCA,3,T,S,6,0.65918,0,
6,L_ACMA1S_6T,L,ACMA,1,T,S,6,0.65232,0,
397,L_UMCA3S_1T,L,UMCA,3,T,S,1,0.62301,0,
400,L_UMCA3S_4T,L,UMCA,3,T,S,4,0.61529,0,
145,L_LIDE3S_1T,L,LIDE,3,T,S,1,0.61406,0,
136,L_LIDE2S_4T,L,LIDE,2,T,S,4,0.60759,0,
350,L_TODI2S_2T,L,TODI,2,T,S,2,0.5917,0,
339,L_TODI1S_3T,L,TODI,1,T,S,3,0.59085,0,
430,L_VAOV2S_4W,L,VAOV,2,W,S,4,0.57977,0,
377,L_UMCA1S_5T,L,UMCA,1,T,S,5,0.57435,0,
113,L_HEAR3S_5T,L,HEAR,3,T,S,5,0.5438,0,
351,L_TODI2S_3T,L,TODI,2,T,S,3,0.5429,0,
437,L_VAOV3S_5T,L,VAOV,3,T,S,5,0.52898,0,
338,L_TODI1S_2T,L,TODI,1,T,S,2,0.52667,0,
374,L_UMCA1S_2T,L,UMCA,1,T,S,2,0.52585,0,
4,L_ACMA1S_4T,L,ACMA,1,T,S,4,0.5242,0,
241,L_QUKE2S_1T,L,QUKE,2,T,S,1,0.50332,0,
337,L_TODI1S_1T,L,TODI,1,T,S,1,0.49411,0,
3,L_ACMA1S_3T,L,ACMA,1,T,S,3,0.48393,0,
433,L_VAOV3S_1T,L,VAOV,3,T,S,1,0.45349,0,
101,L_HEAR2S_5T,L,HEAR,2,T,S,5,0.45238,0,
361,L_TODI3S_1T,L,TODI,3,T,S,1,0.45238,0,
433,,L,VAOV,3,T,S,1,0.45051,0,
373,L_UMCA1S_1T,L,UMCA,1,T,S,1,0.44567,0,
305,L_RHCA1S_5T,L,RHCA,1,T,S,5,0.43135,0,
173,L_QUAG2S_5T,L,QUAG,2,T,S,5,0.42604,0,
39,L_ARME1S_3T,L,ARME,1,T,S,3,0.39797,0,
375,L_UMCA1S_3T,L,UMCA,1,T,S,3,0.37487,0,
2,L_ACMA1S_2T,L,ACMA,1,T,S,2,0.37139,0,
342,L_TODI1S_6T,L,TODI,1,T,S,6,0.37128,0,
243,L_QUKE2S_3T,L,QUKE,2,T,S,3,0.36718,0,
87,L_HEAR1S_3T,L,HEAR,1,T,S,3,0.36526,0,
38,L_ARME1S_2T,L,ARME,1,T,S,2,0.35703,0,
362,L_TODI3S_2T,L,TODI,3,T,S,2,0.35461,0,
386,L_UMCA2S_2T,L,UMCA,2,T,S,2,0.34149,0,
364,L_TODI3S_4T,L,TODI,3,T,S,4,0.34018,0,
53,L_ARME2S_5T,L,ARME,2,T,S,5,0.33667,0,
314,L_RHCA2S_2T,L,RHCA,2,T,S,2,0.33326,0,
246,L_QUKE2S_6T,L,QUKE,2,T,S,6,0.32429,0,
245,L_QUKE2S_5T,L,QUKE,2,T,S,5,0.29337,0,
277,L_QUPA2S_1T,L,QUPA,2,T,S,1,0.28884,0,
231,L_QUKE1S_3T,L,QUKE,1,T,S,3,0.28444,0,
315,L_RHCA2S_3T,L,RHCA,2,T,S,3,0.27673,0,
254,L_QUKE3S_2T,L,QUKE,3,T,S,2,0.27612,0,
244,L_QUKE2S_4T,L,QUKE,2,T,S,4,0.27525,0,
230,L_QUKE1S_2T,L,QUKE,1,T,S,2,0.27506,0,
363,L_TODI3S_3T,L,TODI,3,T,S,3,0.26899,0,
253,L_QUKE3S_1T,L,QUKE,3,T,S,1,0.26364,0,
282,L_QUPA2S_6T,L,QUPA,2,T,S,6,0.25671,0,
278,L_QUPA2S_2T,L,QUPA,2,T,S,2,0.25388,0,
102,L_HEAR2S_6T,L,HEAR,2,T,S,6,0.25303,0,
100,L_HEAR2S_4T,L,HEAR,2,T,S,4,0.22845,0,
232,L_QUKE1S_4T,L,QUKE,1,T,S,4,0.21732,0,
255,L_QUKE3S_3T,L,QUKE,3,T,S,3,0.21393,0,
111,L_HEAR3S_3T,L,HEAR,3,T,S,3,0.21317,0,
229,L_QUKE1S_1T,L,QUKE,1,T,S,1,0.21016,0,
99,L_HEAR2S_3T,L,HEAR,2,T,S,3,0.2034,0,
352,L_TODI2S_4T,L,TODI,2,T,S,4,0.20276,0,
258,L_QUKE3S_6T,L,QUKE,3,T,S,6,0.20132,0,
233,L_QUKE1S_5T,L,QUKE,1,T,S,5,0.1874,0,
313,L_RHCA2S_1T,L,RHCA,2,T,S,1,0.18359,0,
256,L_QUKE3S_4T,L,QUKE,3,T,S,4,0.17312,0,
318,L_RHCA2S_6T,L,RHCA,2,T,S,6,0.17027,0,
257,L_QUKE3S_5T,L,QUKE,3,T,S,5,0.16992,0,
242,L_QUKE2S_2T,L,QUKE,2,T,S,2,0.16697,0,
281,L_QUPA2S_5T,L,QUPA,2,T,S,5,0.15962,0,
172,L_QUAG2S_4T,L,QUAG,2,T,S,4,0.15721,0,
171,L_QUAG2S_3T,L,QUAG,2,T,S,3,0.15612,0,
169,L_QUAG2S_1T,L,QUAG,2,T,S,1,0.15181,0,
234,L_QUKE1S_6T,L,QUKE,1,T,S,6,0.14994,0,
316,L_RHCA2S_4T,L,RHCA,2,T,S,4,0.14836,0,
365,L_TODI3S_5T,L,TODI,3,T,S,5,0.14738,0,
184,L_QUAG3S_4T,L,QUAG,3,T,S,4,0.13921,0,
41,L_ARME1S_5T,L,ARME,1,T,S,5,0.13843,0,
279,L_QUPA2S_3T,L,QUPA,2,T,S,3,0.13588,0,
280,L_QUPA2S_4T,L,QUPA,2,T,S,4,0.13474,0,
138,L_LIDE2S_6T,L,LIDE,2,T,S,6,0.1268,0,
353,L_TODI2S_5T,L,TODI,2,T,S,5,0.10963,0,
185,L_QUAG3S_5T,L,QUAG,3,T,S,5,0.0968,0,
354,L_TODI2S_6T,L,TODI,2,T,S,6,0.08469,0,
317,L_RHCA2S_5T,L,RHCA,2,T,S,5,0.08267,0,
134,L_LIDE2S_2T,L,LIDE,2,T,S,2,0.07421,0,
135,L_LIDE2S_3T,L,LIDE,2,T,S,3,0.06309,0,
206,L_QUCH2S_2T,L,QUCH,2,T,S,2,0.0606,0,
133,L_LIDE2S_1T,L,LIDE,2,T,S,1,0.05479,0,
137,L_LIDE2S_5T,L,LIDE,2,T,S,5,0.04168,0,
181,L_QUAG3S_1T,L,QUAG,3,T,S,1,0.03658,0,
409,L_VAOV1S_1T,L,VAOV,1,T,S,1,0.02449,0,VAOV leaves show rlly different data
183,L_QUAG3S_3T,L,QUAG,3,T,S,3,0.02007,0,
411,L_VAOV1S_3T,L,VAOV,1,T,S,3,0.01951,0,
423,L_VAOV2S_3T,L,VAOV,2,T,S,3,0.01603,0,
422,L_VAOV2S_2T,L,VAOV,2,T,S,2,0.01103,0,
