No,code,assay,species,ind,trt,spore,leaf,rep,tubes,notes
334,L_RHCA3S_4W,L,RHCA,3,W,S,4,4,.2 ml,
335,L_RHCA3S_5W,L,RHCA,3,W,S,5,5,.2 ml,
336,L_RHCA3S_6W,L,RHCA,3,W,S,6,6,.2 ml,
337,L_TODI1S_1T,L,TODI,1,T,S,1,1,.2 ml,
338,L_TODI1S_2T,L,TODI,1,T,S,2,2,.2 ml,
339,L_TODI1S_3T,L,TODI,1,T,S,3,3,.2 ml,
340,L_TODI1S_4T,L,TODI,1,T,S,4,4,.2 ml,
341,L_TODI1S_5T,L,TODI,1,T,S,5,5,.2 ml,
342,L_TODI1S_6T,L,TODI,1,T,S,6,6,.2 ml,
343,L_TODI1S_1W,L,TODI,1,W,S,1,1,.2 ml,
344,L_TODI1S_2W,L,TODI,1,W,S,2,2,.2 ml,
345,L_TODI1S_3W,L,TODI,1,W,S,3,3,.2 ml,
346,L_TODI1S_4W,L,TODI,1,W,S,4,4,.2 ml,
347,L_TODI1S_5W,L,TODI,1,W,S,5,5,.2 ml,
348,L_TODI1S_6W,L,TODI,1,W,S,6,6,.2 ml,
349,L_TODI2S_1T,L,TODI,2,T,S,1,1,.2 ml,
350,L_TODI2S_2T,L,TODI,2,T,S,2,2,.2 ml,
351,L_TODI2S_3T,L,TODI,2,T,S,3,3,.2 ml,
352,L_TODI2S_4T,L,TODI,2,T,S,4,4,.2 ml,
353,L_TODI2S_5T,L,TODI,2,T,S,5,5,.2 ml,
354,L_TODI2S_6T,L,TODI,2,T,S,6,6,.2 ml,
355,L_TODI2S_1W,L,TODI,2,W,S,1,1,.2 ml,
356,L_TODI2S_2W,L,TODI,2,W,S,2,2,.2 ml,
357,L_TODI2S_3W,L,TODI,2,W,S,3,3,.2 ml,
358,L_TODI2S_4W,L,TODI,2,W,S,4,4,.2 ml,
359,L_TODI2S_5W,L,TODI,2,W,S,5,5,.2 ml,
360,L_TODI2S_6W,L,TODI,2,W,S,6,6,.2 ml,
361,L_TODI3S_1T,L,TODI,3,T,S,1,1,.2 ml,
362,L_TODI3S_2T,L,TODI,3,T,S,2,2,.2 ml,
363,L_TODI3S_3T,L,TODI,3,T,S,3,3,.2 ml,
364,L_TODI3S_4T,L,TODI,3,T,S,4,4,.2 ml,
365,L_TODI3S_5T,L,TODI,3,T,S,5,5,.2 ml,
366,L_TODI3S_6T,L,TODI,3,T,S,6,6,.2 ml,
367,L_TODI3S_1W,L,TODI,3,W,S,1,1,.2 ml,
368,L_TODI3S_2W,L,TODI,3,W,S,2,2,.2 ml,
369,L_TODI3S_3W,L,TODI,3,W,S,3,3,.2 ml,
370,L_TODI3S_4W,L,TODI,3,W,S,4,4,.2 ml,
371,L_TODI3S_5W,L,TODI,3,W,S,5,5,.2 ml,
372,L_TODI3S_6W,L,TODI,3,W,S,6,6,.2 ml,
373,L_UMCA1S_1T,L,UMCA,1,T,S,1,1,.2 ml,
374,L_UMCA1S_2T,L,UMCA,1,T,S,2,2,.2 ml,
375,L_UMCA1S_3T,L,UMCA,1,T,S,3,3,.2 ml,
376,L_UMCA1S_4T,L,UMCA,1,T,S,4,4,.2 ml,
377,L_UMCA1S_5T,L,UMCA,1,T,S,5,5,.2 ml,
378,L_UMCA1S_6T,L,UMCA,1,T,S,6,6,.2 ml,
379,L_UMCA1S_1W,L,UMCA,1,W,S,1,1,.2 ml,
380,L_UMCA1S_2W,L,UMCA,1,W,S,2,2,.2 ml,
381,L_UMCA1S_3W,L,UMCA,1,W,S,3,3,.2 ml,
382,L_UMCA1S_4W,L,UMCA,1,W,S,4,4,.2 ml,
383,L_UMCA1S_5W,L,UMCA,1,W,S,5,5,.2 ml,
384,L_UMCA1S_6W,L,UMCA,1,W,S,6,6,.2 ml,
385,L_UMCA2S_1T,L,UMCA,2,T,S,1,1,.2 ml,
386,L_UMCA2S_2T,L,UMCA,2,T,S,2,2,.2 ml,
387,L_UMCA2S_3T,L,UMCA,2,T,S,3,3,.2 ml,
388,L_UMCA2S_4T,L,UMCA,2,T,S,4,4,.2 ml,
389,L_UMCA2S_5T,L,UMCA,2,T,S,5,5,.2 ml,
390,L_UMCA2S_6T,L,UMCA,2,T,S,6,6,.2 ml,
391,L_UMCA2S_1W,L,UMCA,2,W,S,1,1,.2 ml,
392,L_UMCA2S_2W,L,UMCA,2,W,S,2,2,.2 ml,
393,L_UMCA2S_3W,L,UMCA,2,W,S,3,3,.2 ml,
394,L_UMCA2S_4W,L,UMCA,2,W,S,4,4,.2 ml,
395,L_UMCA2S_5W,L,UMCA,2,W,S,5,5,.2 ml,
396,L_UMCA2S_6W,L,UMCA,2,W,S,6,6,.2 ml,
397,L_UMCA3S_1T,L,UMCA,3,T,S,1,1,.2 ml,
398,L_UMCA3S_2T,L,UMCA,3,T,S,2,2,.2 ml,
399,L_UMCA3S_3T,L,UMCA,3,T,S,3,3,.2 ml,
400,L_UMCA3S_4T,L,UMCA,3,T,S,4,4,.2 ml,
401,L_UMCA3S_5T,L,UMCA,3,T,S,5,5,.2 ml,
402,L_UMCA3S_6T,L,UMCA,3,T,S,6,6,.2 ml,
403,L_UMCA3S_1W,L,UMCA,3,W,S,1,1,.2 ml,
404,L_UMCA3S_2W,L,UMCA,3,W,S,2,2,.2 ml,
405,L_UMCA3S_3W,L,UMCA,3,W,S,3,3,.2 ml,
406,L_UMCA3S_4W,L,UMCA,3,W,S,4,4,.2 ml,
407,L_UMCA3S_5W,L,UMCA,3,W,S,5,5,.2 ml,
408,L_UMCA3S_6W,L,UMCA,3,W,S,6,6,.2 ml,
409,L_VAOV1S_1T,L,VAOV,1,T,S,1,1,.2 ml,1 disc cut per leaf. Pairs between S and C.
410,L_VAOV1S_2T,L,VAOV,1,T,S,2,2,.2 ml,1 disc cut per leaf. Pairs between S and C.
411,L_VAOV1S_3T,L,VAOV,1,T,S,3,3,.2 ml,1 disc cut per leaf. Pairs between S and C.
412,L_VAOV1S_4T,L,VAOV,1,T,S,4,4,.2 ml,1 disc cut per leaf. Pairs between S and C.
413,L_VAOV1S_5T,L,VAOV,1,T,S,5,5,.2 ml,1 disc cut per leaf. Pairs between S and C.
414,L_VAOV1S_6T,L,VAOV,1,T,S,6,6,.2 ml,1 disc cut per leaf. Pairs between S and C.
415,L_VAOV1S_1W,L,VAOV,1,W,S,7,1,.2 ml,1 disc cut per leaf. Pairs between S and C.
416,L_VAOV1S_2W,L,VAOV,1,W,S,8,2,.2 ml,1 disc cut per leaf. Pairs between S and C.
417,L_VAOV1S_3W,L,VAOV,1,W,S,9,3,.2 ml,1 disc cut per leaf. Pairs between S and C.
418,L_VAOV1S_4W,L,VAOV,1,W,S,10,4,.2 ml,1 disc cut per leaf. Pairs between S and C.
419,L_VAOV1S_5W,L,VAOV,1,W,S,11,5,.2 ml,1 disc cut per leaf. Pairs between S and C.
420,L_VAOV1S_6W,L,VAOV,1,W,S,12,6,.2 ml,1 disc cut per leaf. Pairs between S and C.
421,L_VAOV2S_1T,L,VAOV,2,T,S,1,1,.2 ml,1 disc cut per leaf. Pairs between S and C.
422,L_VAOV2S_2T,L,VAOV,2,T,S,2,2,.2 ml,1 disc cut per leaf. Pairs between S and C.
423,L_VAOV2S_3T,L,VAOV,2,T,S,3,3,.2 ml,1 disc cut per leaf. Pairs between S and C.
424,L_VAOV2S_4T,L,VAOV,2,T,S,4,4,.2 ml,1 disc cut per leaf. Pairs between S and C.
425,L_VAOV2S_5T,L,VAOV,2,T,S,5,5,.2 ml,1 disc cut per leaf. Pairs between S and C.
426,L_VAOV2S_6T,L,VAOV,2,T,S,6,6,.2 ml,1 disc cut per leaf. Pairs between S and C.
427,L_VAOV2S_1W,L,VAOV,2,W,S,7,1,.2 ml,1 disc cut per leaf. Pairs between S and C.
428,L_VAOV2S_2W,L,VAOV,2,W,S,8,2,.2 ml,1 disc cut per leaf. Pairs between S and C.
429,L_VAOV2S_3W,L,VAOV,2,W,S,9,3,.2 ml,1 disc cut per leaf. Pairs between S and C.
430,L_VAOV2S_4W,L,VAOV,2,W,S,10,4,.2 ml,1 disc cut per leaf. Pairs between S and C.
431,L_VAOV2S_5W,L,VAOV,2,W,S,11,5,.2 ml,1 disc cut per leaf. Pairs between S and C.
432,L_VAOV2S_6W,L,VAOV,2,W,S,12,6,.2 ml,1 disc cut per leaf. Pairs between S and C.
433,L_VAOV3S_1T,L,VAOV,3,T,S,1,1,.2 ml,1 disc cut per leaf. Pairs between S and C.
434,L_VAOV3S_2T,L,VAOV,3,T,S,2,2,.2 ml,1 disc cut per leaf. Pairs between S and C.
435,L_VAOV3S_3T,L,VAOV,3,T,S,3,3,.2 ml,1 disc cut per leaf. Pairs between S and C.
436,L_VAOV3S_4T,L,VAOV,3,T,S,4,4,.2 ml,1 disc cut per leaf. Pairs between S and C.
437,L_VAOV3S_5T,L,VAOV,3,T,S,5,5,.2 ml,1 disc cut per leaf. Pairs between S and C.
438,L_VAOV3S_6T,L,VAOV,3,T,S,6,6,.2 ml,1 disc cut per leaf. Pairs between S and C.
439,L_VAOV3S_1W,L,VAOV,3,W,S,7,1,.2 ml,1 disc cut per leaf. Pairs between S and C.
440,L_VAOV3S_2W,L,VAOV,3,W,S,8,2,.2 ml,1 disc cut per leaf. Pairs between S and C.
441,L_VAOV3S_3W,L,VAOV,3,W,S,9,3,.2 ml,1 disc cut per leaf. Pairs between S and C.
442,L_VAOV3S_4W,L,VAOV,3,W,S,10,4,.2 ml,1 disc cut per leaf. Pairs between S and C.
443,L_VAOV3S_5W,L,VAOV,3,W,S,11,5,.2 ml,1 disc cut per leaf. Pairs between S and C.
444,L_VAOV3S_6W,L,VAOV,3,W,S,12,6,.2 ml,1 disc cut per leaf. Pairs between S and C.
445,D_SESE1S_1T,D,SESE,1,T,S,1,1,.2 ml,remove 6 random needles
446,D_SESE1S_2T,D,SESE,1,T,S,3,2,.2 ml,remove 6 random needles
447,D_SESE1S_3T,D,SESE,1,T,S,5,3,.2 ml,remove 6 random needles
448,D_SESE1S_4T,D,SESE,1,T,S,7,4,.2 ml,remove 6 random needles
449,D_SESE1S_5T,D,SESE,1,T,S,9,5,.2 ml,remove 6 random needles
450,D_SESE1S_6T,D,SESE,1,T,S,11,6,.2 ml,remove 6 random needles
451,D_SESE1S_1W,D,SESE,1,W,S,13,1,.2 ml,remove 6 random needles
452,D_SESE1S_2W,D,SESE,1,W,S,15,2,.2 ml,remove 6 random needles
453,D_SESE1S_3W,D,SESE,1,W,S,17,3,.2 ml,remove 6 random needles
454,D_SESE1S_4W,D,SESE,1,W,S,19,4,.2 ml,remove 6 random needles
455,D_SESE1S_5W,D,SESE,1,W,S,21,5,.2 ml,remove 6 random needles
456,D_SESE1S_6W,D,SESE,1,W,S,23,6,.2 ml,remove 6 random needles
457,D_SESE2S_1T,D,SESE,2,T,S,1,1,.2 ml,remove 6 random needles
458,D_SESE2S_2T,D,SESE,2,T,S,3,2,.2 ml,remove 6 random needles
459,D_SESE2S_3T,D,SESE,2,T,S,5,3,.2 ml,remove 6 random needles
460,D_SESE2S_4T,D,SESE,2,T,S,7,4,.2 ml,remove 6 random needles
461,D_SESE2S_5T,D,SESE,2,T,S,9,5,.2 ml,remove 6 random needles
462,D_SESE2S_6T,D,SESE,2,T,S,11,6,.2 ml,remove 6 random needles
463,D_SESE2S_1W,D,SESE,2,W,S,13,1,.2 ml,remove 6 random needles
464,D_SESE2S_2W,D,SESE,2,W,S,15,2,.2 ml,remove 6 random needles
465,D_SESE2S_3W,D,SESE,2,W,S,17,3,.2 ml,remove 6 random needles
466,D_SESE2S_4W,D,SESE,2,W,S,19,4,.2 ml,remove 6 random needles
467,D_SESE2S_5W,D,SESE,2,W,S,21,5,.2 ml,remove 6 random needles
468,D_SESE2S_6W,D,SESE,2,W,S,23,6,.2 ml,remove 6 random needles
469,D_SESE3S_1T,D,SESE,3,T,S,1,1,.2 ml,remove 6 random needles
470,D_SESE3S_2T,D,SESE,3,T,S,3,2,.2 ml,remove 6 random needles
471,D_SESE3S_3T,D,SESE,3,T,S,5,3,.2 ml,remove 6 random needles
472,D_SESE3S_4T,D,SESE,3,T,S,7,4,.2 ml,remove 6 random needles
473,D_SESE3S_5T,D,SESE,3,T,S,9,5,.2 ml,remove 6 random needles
474,D_SESE3S_6T,D,SESE,3,T,S,11,6,.2 ml,remove 6 random needles
475,D_SESE3S_1W,D,SESE,3,W,S,13,1,.2 ml,remove 6 random needles
476,D_SESE3S_2W,D,SESE,3,W,S,15,2,.2 ml,remove 6 random needles
477,D_SESE3S_3W,D,SESE,3,W,S,17,3,.2 ml,remove 6 random needles
478,D_SESE3S_4W,D,SESE,3,W,S,19,4,.2 ml,remove 6 random needles
479,D_SESE3S_5W,D,SESE,3,W,S,21,5,.2 ml,remove 6 random needles
480,D_SESE3S_6W,D,SESE,3,W,S,23,6,.2 ml,remove 6 random needles
481,D_PSME1S_1T,D,PSME,1,T,S,1,1,.2 ml,remove 6 random needles
482,D_PSME1S_2T,D,PSME,1,T,S,3,2,.2 ml,remove 6 random needles
483,D_PSME1S_3T,D,PSME,1,T,S,5,3,.2 ml,remove 6 random needles
484,D_PSME1S_4T,D,PSME,1,T,S,7,4,.2 ml,remove 6 random needles
485,D_PSME1S_5T,D,PSME,1,T,S,9,5,.2 ml,remove 6 random needles
486,D_PSME1S_6T,D,PSME,1,T,S,11,6,.2 ml,remove 6 random needles
487,D_PSME1S_1W,D,PSME,1,W,S,13,1,.2 ml,remove 6 random needles
488,D_PSME1S_2W,D,PSME,1,W,S,15,2,.2 ml,remove 6 random needles
489,D_PSME1S_3W,D,PSME,1,W,S,17,3,.2 ml,remove 6 random needles
490,D_PSME1S_4W,D,PSME,1,W,S,19,4,.2 ml,remove 6 random needles
491,D_PSME1S_5W,D,PSME,1,W,S,21,5,.2 ml,remove 6 random needles
492,D_PSME1S_6W,D,PSME,1,W,S,23,6,.2 ml,remove 6 random needles
493,D_PSME2S_1T,D,PSME,2,T,S,1,1,.2 ml,remove 6 random needles
494,D_PSME2S_2T,D,PSME,2,T,S,3,2,.2 ml,remove 6 random needles
495,D_PSME2S_3T,D,PSME,2,T,S,5,3,.2 ml,remove 6 random needles
496,D_PSME2S_4T,D,PSME,2,T,S,7,4,.2 ml,remove 6 random needles
497,D_PSME2S_5T,D,PSME,2,T,S,9,5,.2 ml,remove 6 random needles
498,D_PSME2S_6T,D,PSME,2,T,S,11,6,.2 ml,remove 6 random needles
499,D_PSME2S_1W,D,PSME,2,W,S,13,1,.2 ml,remove 6 random needles
500,D_PSME2S_2W,D,PSME,2,W,S,15,2,.2 ml,remove 6 random needles
501,D_PSME2S_3W,D,PSME,2,W,S,17,3,.2 ml,remove 6 random needles
502,D_PSME2S_4W,D,PSME,2,W,S,19,4,.2 ml,remove 6 random needles
503,D_PSME2S_5W,D,PSME,2,W,S,21,5,.2 ml,remove 6 random needles
504,D_PSME2S_6W,D,PSME,2,W,S,23,6,.2 ml,remove 6 random needles
505,D_PSME3S_1T,D,PSME,3,T,S,1,1,.2 ml,remove 6 random needles
506,D_PSME3S_2T,D,PSME,3,T,S,3,2,.2 ml,remove 6 random needles
507,D_PSME3S_3T,D,PSME,3,T,S,5,3,.2 ml,remove 6 random needles
508,D_PSME3S_4T,D,PSME,3,T,S,7,4,.2 ml,remove 6 random needles
509,D_PSME3S_5T,D,PSME,3,T,S,9,5,.2 ml,remove 6 random needles
510,D_PSME3S_6T,D,PSME,3,T,S,11,6,.2 ml,remove 6 random needles
511,D_PSME3S_1W,D,PSME,3,W,S,13,1,.2 ml,remove 6 random needles
512,D_PSME3S_2W,D,PSME,3,W,S,15,2,.2 ml,remove 6 random needles
513,D_PSME3S_3W,D,PSME,3,W,S,17,3,.2 ml,remove 6 random needles
514,D_PSME3S_4W,D,PSME,3,W,S,19,4,.2 ml,remove 6 random needles
515,D_PSME3S_5W,D,PSME,3,W,S,21,5,.2 ml,remove 6 random needles
516,D_PSME3S_6W,D,PSME,3,W,S,23,6,.2 ml,remove 6 random needles
517,D_PIPO1S_1T,D,PIPO,1,T,S,1,1,.2 ml,"scrape last 4 cm only of all 3 needles, only collected 8 needles total oops..., for all PIPO accidentally didn't collect enough. Same needles for sp+ch. Splitting into 2, 6 leaves in each box"
518,D_PIPO1S_2T,D,PIPO,1,T,S,2,2,.2 ml,"scrape last 4 cm only of all 3 needles, only collected 8 needles total oops..."
519,D_PIPO1S_3T,D,PIPO,1,T,S,3,3,.2 ml,"scrape last 4 cm only of all 3 needles, only collected 8 needles total oops..."
520,D_PIPO1S_4T,D,PIPO,1,T,S,4,4,.2 ml,"scrape last 4 cm only of all 3 needles, only collected 8 needles total oops..."
521,D_PIPO1S_5T,D,PIPO,1,T,S,5,5,.2 ml,"scrape last 4 cm only of all 3 needles, only collected 8 needles total oops..."
522,D_PIPO1S_6T,D,PIPO,1,T,S,6,6,.2 ml,"scrape last 4 cm only of all 3 needles, only collected 8 needles total oops..."
523,D_PIPO1S_1W,D,PIPO,1,W,S,7,1,.2 ml,"scrape last 4 cm only of all 3 needles, only collected 8 needles total oops..."
524,D_PIPO1S_2W,D,PIPO,1,W,S,8,2,.2 ml,"scrape last 4 cm only of all 3 needles, only collected 8 needles total oops..."
525,D_PIPO1S_3W,D,PIPO,1,W,S,9,3,.2 ml,"scrape last 4 cm only of all 3 needles, only collected 8 needles total oops..."
526,D_PIPO1S_4W,D,PIPO,1,W,S,10,4,.2 ml,"scrape last 4 cm only of all 3 needles, only collected 8 needles total oops..."
527,D_PIPO1S_5W,D,PIPO,1,W,S,11,5,.2 ml,"scrape last 4 cm only of all 3 needles, only collected 8 needles total oops..."
528,D_PIPO1S_6W,D,PIPO,1,W,S,12,6,.2 ml,"scrape last 4 cm only of all 3 needles, only collected 8 needles total oops..."
529,D_PIPO2S_1T,D,PIPO,2,T,S,1,1,.2 ml,"scrape last 4 cm only of all 3 needles, only collected 8 needles total oops..."
530,D_PIPO2S_2T,D,PIPO,2,T,S,2,2,.2 ml,"scrape last 4 cm only of all 3 needles, only collected 8 needles total oops..."
531,D_PIPO2S_3T,D,PIPO,2,T,S,3,3,.2 ml,"scrape last 4 cm only of all 3 needles, only collected 8 needles total oops..."
532,D_PIPO2S_4T,D,PIPO,2,T,S,4,4,.2 ml,"scrape last 4 cm only of all 3 needles, only collected 8 needles total oops..."
533,D_PIPO2S_5T,D,PIPO,2,T,S,5,5,.2 ml,"scrape last 4 cm only of all 3 needles, only collected 8 needles total oops..."
534,D_PIPO2S_6T,D,PIPO,2,T,S,6,6,.2 ml,"scrape last 4 cm only of all 3 needles, only collected 8 needles total oops..."
535,D_PIPO2S_1W,D,PIPO,2,W,S,7,1,.2 ml,"scrape last 4 cm only of all 3 needles, only collected 8 needles total oops..."
536,D_PIPO2S_2W,D,PIPO,2,W,S,8,2,.2 ml,"scrape last 4 cm only of all 3 needles, only collected 8 needles total oops..."
537,D_PIPO2S_3W,D,PIPO,2,W,S,9,3,.2 ml,"scrape last 4 cm only of all 3 needles, only collected 8 needles total oops..."
538,D_PIPO2S_4W,D,PIPO,2,W,S,10,4,.2 ml,"scrape last 4 cm only of all 3 needles, only collected 8 needles total oops..."
539,D_PIPO2S_5W,D,PIPO,2,W,S,11,5,.2 ml,"scrape last 4 cm only of all 3 needles, only collected 8 needles total oops..."
540,D_PIPO2S_6W,D,PIPO,2,W,S,12,6,.2 ml,"scrape last 4 cm only of all 3 needles, only collected 8 needles total oops..."
541,D_PIPO3S_1T,D,PIPO,3,T,S,1,1,.2 ml,"scrape last 4 cm only of all 3 needles, only collected 8 needles total oops..."
542,D_PIPO3S_2T,D,PIPO,3,T,S,2,2,.2 ml,"scrape last 4 cm only of all 3 needles, only collected 8 needles total oops..."
543,D_PIPO3S_3T,D,PIPO,3,T,S,3,3,.2 ml,"scrape last 4 cm only of all 3 needles, only collected 8 needles total oops..."
544,D_PIPO3S_4T,D,PIPO,3,T,S,4,4,.2 ml,"scrape last 4 cm only of all 3 needles, only collected 8 needles total oops..."
545,D_PIPO3S_5T,D,PIPO,3,T,S,5,5,.2 ml,"scrape last 4 cm only of all 3 needles, only collected 8 needles total oops..."
546,D_PIPO3S_6T,D,PIPO,3,T,S,6,6,.2 ml,"scrape last 4 cm only of all 3 needles, only collected 8 needles total oops..."
547,D_PIPO3S_1W,D,PIPO,3,W,S,7,1,.2 ml,"scrape last 4 cm only of all 3 needles, only collected 8 needles total oops..."
548,D_PIPO3S_2W,D,PIPO,3,W,S,8,2,.2 ml,"scrape last 4 cm only of all 3 needles, only collected 8 needles total oops..."
549,D_PIPO3S_3W,D,PIPO,3,W,S,9,3,.2 ml,"scrape last 4 cm only of all 3 needles, only collected 8 needles total oops..."
550,D_PIPO3S_4W,D,PIPO,3,W,S,10,4,.2 ml,"scrape last 4 cm only of all 3 needles, only collected 8 needles total oops..."
551,D_PIPO3S_5W,D,PIPO,3,W,S,11,5,.2 ml,"scrape last 4 cm only of all 3 needles, only collected 8 needles total oops..."
552,D_PIPO3S_6W,D,PIPO,3,W,S,12,6,.2 ml,"scrape last 4 cm only of all 3 needles, only collected 8 needles total oops..."
553,D_UMCA1S_1T,D,UMCA,1,T,S,7,1,1.5 ml,scrape last 4 cm and any lesion area (ref species)
554,D_UMCA1S_2T,D,UMCA,1,T,S,9,2,1.5 ml,scrape last 4 cm and any lesion area (ref species)
555,D_UMCA1S_3T,D,UMCA,1,T,S,11,3,1.5 ml,scrape last 4 cm and any lesion area (ref species)
556,D_UMCA1S_4T,D,UMCA,1,T,S,13,4,1.5 ml,scrape last 4 cm and any lesion area (ref species)
557,D_UMCA1S_5T,D,UMCA,1,T,S,15,5,1.5 ml,scrape last 4 cm and any lesion area (ref species)
558,D_UMCA1S_6T,D,UMCA,1,T,S,17,6,1.5 ml,scrape last 4 cm and any lesion area (ref species)
559,D_UMCA1S_1W,D,UMCA,1,W,S,19,1,1.5 ml,scrape last 4 cm and any lesion area (ref species)
560,D_UMCA1S_2W,D,UMCA,1,W,S,21,2,1.5 ml,scrape last 4 cm and any lesion area (ref species)
561,D_UMCA1S_3W,D,UMCA,1,W,S,23,3,1.5 ml,scrape last 4 cm and any lesion area (ref species)
562,D_UMCA1S_4W,D,UMCA,1,W,S,25,4,1.5 ml,scrape last 4 cm and any lesion area (ref species)
563,D_UMCA1S_5W,D,UMCA,1,W,S,27,5,1.5 ml,scrape last 4 cm and any lesion area (ref species)
564,D_UMCA1S_6W,D,UMCA,1,W,S,29,6,1.5 ml,scrape last 4 cm and any lesion area (ref species)
565,D_LIDE1S_1T,D,LIDE,1,T,S,7,1,1.5 ml,scrape last 4 cm and any lesion area (ref species)
566,D_LIDE1S_2T,D,LIDE,1,T,S,9,2,1.5 ml,scrape last 4 cm and any lesion area (ref species)
567,D_LIDE1S_3T,D,LIDE,1,T,S,11,3,1.5 ml,scrape last 4 cm and any lesion area (ref species)
568,D_LIDE1S_4T,D,LIDE,1,T,S,13,4,1.5 ml,scrape last 4 cm and any lesion area (ref species)
569,D_LIDE1S_5T,D,LIDE,1,T,S,15,5,1.5 ml,scrape last 4 cm and any lesion area (ref species)
570,D_LIDE1S_6T,D,LIDE,1,T,S,17,6,1.5 ml,scrape last 4 cm and any lesion area (ref species)
571,D_LIDE1S_1W,D,LIDE,1,W,S,19,1,1.5 ml,scrape last 4 cm and any lesion area (ref species)
572,D_LIDE1S_2W,D,LIDE,1,W,S,21,2,1.5 ml,scrape last 4 cm and any lesion area (ref species)
573,D_LIDE1S_3W,D,LIDE,1,W,S,23,3,1.5 ml,scrape last 4 cm and any lesion area (ref species)
574,D_LIDE1S_4W,D,LIDE,1,W,S,25,4,1.5 ml,scrape last 4 cm and any lesion area (ref species)
575,D_LIDE1S_5W,D,LIDE,1,W,S,27,5,1.5 ml,scrape last 4 cm and any lesion area (ref species)
576,D_LIDE1S_6W,D,LIDE,1,W,S,29,6,1.5 ml,scrape last 4 cm and any lesion area (ref species)
577,L_ACMA1C_1T,L,ACMA,1,T,C,1,1,2 ml,
578,L_ACMA1C_2T,L,ACMA,1,T,C,2,2,2 ml,
579,L_ACMA1C_3T,L,ACMA,1,T,C,3,3,2 ml,
580,L_ACMA1C_4T,L,ACMA,1,T,C,4,4,2 ml,
581,L_ACMA1C_5T,L,ACMA,1,T,C,5,5,2 ml,
582,L_ACMA1C_6T,L,ACMA,1,T,C,6,6,2 ml,
583,L_ACMA1C_1W,L,ACMA,1,W,C,1,1,2 ml,
584,L_ACMA1C_2W,L,ACMA,1,W,C,2,2,2 ml,
585,L_ACMA1C_3W,L,ACMA,1,W,C,3,3,2 ml,
586,L_ACMA1C_4W,L,ACMA,1,W,C,4,4,2 ml,
587,L_ACMA1C_5W,L,ACMA,1,W,C,5,5,2 ml,
588,L_ACMA1C_6W,L,ACMA,1,W,C,6,6,2 ml,
589,L_ACMA2C_1T,L,ACMA,2,T,C,1,1,2 ml,
590,L_ACMA2C_2T,L,ACMA,2,T,C,2,2,2 ml,
591,L_ACMA2C_3T,L,ACMA,2,T,C,3,3,2 ml,
592,L_ACMA2C_4T,L,ACMA,2,T,C,4,4,2 ml,
593,L_ACMA2C_5T,L,ACMA,2,T,C,5,5,2 ml,
594,L_ACMA2C_6T,L,ACMA,2,T,C,6,6,2 ml,
595,L_ACMA2C_1W,L,ACMA,2,W,C,1,1,2 ml,
596,L_ACMA2C_2W,L,ACMA,2,W,C,2,2,2 ml,
597,L_ACMA2C_3W,L,ACMA,2,W,C,3,3,2 ml,
598,L_ACMA2C_4W,L,ACMA,2,W,C,4,4,2 ml,
599,L_ACMA2C_5W,L,ACMA,2,W,C,5,5,2 ml,
600,L_ACMA2C_6W,L,ACMA,2,W,C,6,6,2 ml,
601,L_ACMA3C_1T,L,ACMA,3,T,C,1,1,2 ml,
602,L_ACMA3C_2T,L,ACMA,3,T,C,2,2,2 ml,
603,L_ACMA3C_3T,L,ACMA,3,T,C,3,3,2 ml,
604,L_ACMA3C_4T,L,ACMA,3,T,C,4,4,2 ml,
605,L_ACMA3C_5T,L,ACMA,3,T,C,5,5,2 ml,
606,L_ACMA3C_6T,L,ACMA,3,T,C,6,6,2 ml,
607,L_ACMA3C_1W,L,ACMA,3,W,C,1,1,2 ml,
608,L_ACMA3C_2W,L,ACMA,3,W,C,2,2,2 ml,
609,L_ACMA3C_3W,L,ACMA,3,W,C,3,3,2 ml,
610,L_ACMA3C_4W,L,ACMA,3,W,C,4,4,2 ml,
611,L_ACMA3C_5W,L,ACMA,3,W,C,5,5,2 ml,
612,L_ACMA3C_6W,L,ACMA,3,W,C,6,6,2 ml,
613,L_ARME1C_1T,L,ARME,1,T,C,1,1,2 ml,
614,L_ARME1C_2T,L,ARME,1,T,C,2,2,2 ml,
615,L_ARME1C_3T,L,ARME,1,T,C,3,3,2 ml,
616,L_ARME1C_4T,L,ARME,1,T,C,4,4,2 ml,
617,L_ARME1C_5T,L,ARME,1,T,C,5,5,2 ml,
618,L_ARME1C_6T,L,ARME,1,T,C,6,6,2 ml,
619,L_ARME1C_1W,L,ARME,1,W,C,1,1,2 ml,
620,L_ARME1C_2W,L,ARME,1,W,C,2,2,2 ml,
621,L_ARME1C_3W,L,ARME,1,W,C,3,3,2 ml,ARME1-3W (#621) missing
622,L_ARME1C_4W,L,ARME,1,W,C,4,4,2 ml,
623,L_ARME1C_5W,L,ARME,1,W,C,5,5,2 ml,
624,L_ARME1C_6W,L,ARME,1,W,C,6,6,2 ml,
625,L_ARME2C_1T,L,ARME,2,T,C,1,1,2 ml,
626,L_ARME2C_2T,L,ARME,2,T,C,2,2,2 ml,
627,L_ARME2C_3T,L,ARME,2,T,C,3,3,2 ml,
628,L_ARME2C_4T,L,ARME,2,T,C,4,4,2 ml,
629,L_ARME2C_5T,L,ARME,2,T,C,5,5,2 ml,
