No,code,spore,count.mu,count.sd,date_counted,water,Notes_spores
447,D_SESE1S_3T,S,0.07,0.12,26-Jun,0,
448,D_SESE1S_4T,S,0.13,0.23,26-Jun,0,
449,D_SESE1S_5T,S,0,0,26-Jun,0,
450,D_SESE1S_6T,S,0.07,0.12,26-Jun,0,
451,D_SESE1S_1W,S,0,0,26-Jun,1,water
452,D_SESE1S_2W,S,0,0,26-Jun,0,
453,D_SESE1S_3W,S,0,0,26-Jun,0,
454,D_SESE1S_4W,S,0,0,26-Jun,0,
455,D_SESE1S_5W,S,0,0,26-Jun,0,
456,D_SESE1S_6W,S,0,0,26-Jun,0,
457,D_SESE2S_1T,S,0.2,0.28,26-Jun,1,water
458,D_SESE2S_2T,S,3.2,0.78,26-Jun,0,"water, lots, including those with germ tube and mycelium not sure why they didn't colonize"
459,D_SESE2S_3T,S,2.13,1.3,26-Jun,0,
460,D_SESE2S_4T,S,0.4,0.35,26-Jun,0,
461,D_SESE2S_5T,S,1,0.69,26-Jun,0,
462,D_SESE2S_6T,S,1.33,0.23,26-Jun,0,
463,D_SESE2S_1W,S,0,0,26-Jun,1,water
464,D_SESE2S_2W,S,0,0,26-Jun,0,
465,D_SESE2S_3W,S,0,0,20-Jul,0,
466,D_SESE2S_4W,S,0,0,20-Jul,0,
467,D_SESE2S_5W,S,0,0,20-Jul,0,
468,D_SESE2S_6W,S,0,0,20-Jul,0,
469,D_SESE3S_1T,S,1.7,0.9,26-Jun,1,water
470,D_SESE3S_2T,S,0.2,0.16,26-Jun,1,water
471,D_SESE3S_3T,S,0.2,0.2,26-Jun,0,
472,D_SESE3S_4T,S,0.27,0.23,26-Jun,0,
473,D_SESE3S_5T,S,0.13,0.12,26-Jun,0,
474,D_SESE3S_6T,S,0.8,0.53,26-Jun,0,
475,D_SESE3S_1W,S,0,0,26-Jun,1,water
476,D_SESE3S_2W,S,0,0,20-Jul,0,
477,D_SESE3S_3W,S,0,0,20-Jul,0,
478,D_SESE3S_4W,S,0,0,20-Jul,0,
479,D_SESE3S_5W,S,0,0,20-Jul,0,
480,D_SESE3S_6W,S,0,0,20-Jul,0,
481,D_PSME1S_1T,S,0.05,0.1,26-Jun,1,water
482,D_PSME1S_2T,S,0.1,0.12,26-Jun,1,water
483,D_PSME1S_3T,S,0.13,0.23,26-Jun,0,
484,D_PSME1S_4T,S,16.33,2.91,26-Jun,0,
485,D_PSME1S_5T,S,0.87,0.64,26-Jun,0,
486,D_PSME1S_6T,S,0.87,0.31,26-Jun,0,
487,D_PSME1S_1W,S,0,0,26-Jun,1,water
488,D_PSME1S_2W,S,0,0,20-Jul,0,
489,D_PSME1S_3W,S,0,0,20-Jul,0,
490,D_PSME1S_4W,S,0,0,20-Jul,0,
491,D_PSME1S_5W,S,0,0,20-Jul,0,
492,D_PSME1S_6W,S,0,0,20-Jul,0,
493,D_PSME2S_1T,S,0.25,0.19,20-Jul,1,water
494,D_PSME2S_2T,S,0.2,0.16,20-Jul,0,
495,D_PSME2S_3T,S,0.2,0.23,20-Jul,0,
496,D_PSME2S_4T,S,0.5,0.42,20-Jul,1,water
497,D_PSME2S_5T,S,0.1,0.12,20-Jul,0,
498,D_PSME2S_6T,S,0.1,0.2,20-Jul,0,
499,D_PSME2S_1W,S,0,0,26-Jun,1,water
500,D_PSME2S_2W,S,0,0,20-Jul,0,
501,D_PSME2S_3W,S,0,0,20-Jul,0,
502,D_PSME2S_4W,S,0,0,20-Jul,0,
503,D_PSME2S_5W,S,0,0,20-Jul,0,
504,D_PSME2S_6W,S,0,0,20-Jul,0,
505,D_PSME3S_1T,S,0.33,0.12,26-Jun,1,water
506,D_PSME3S_2T,S,0.05,0.1,20-Jul,0,
507,D_PSME3S_3T,S,0.15,0.19,20-Jul,0,
508,D_PSME3S_4T,S,0.05,0.1,20-Jul,0,
509,D_PSME3S_5T,S,0,0,20-Jul,0,
510,D_PSME3S_6T,S,0.15,0.1,20-Jul,0,
511,D_PSME3S_1W,S,0,0,26-Jun,1,water
512,D_PSME3S_2W,S,0,0,20-Jul,0,
513,D_PSME3S_3W,S,0,0,20-Jul,0,
514,D_PSME3S_4W,S,0,0,20-Jul,0,
515,D_PSME3S_5W,S,0,0,20-Jul,0,
516,D_PSME3S_6W,S,0,0,20-Jul,0,
517,D_PIPO1S_1T,S,0,0,26-Jun,1,water
518,D_PIPO1S_2T,S,0,0,20-Jul,0,
519,D_PIPO1S_3T,S,0,0,20-Jul,0,
520,D_PIPO1S_4T,S,0,0,20-Jul,0,
521,D_PIPO1S_5T,S,0,0,20-Jul,0,
522,D_PIPO1S_6T,S,0,0,20-Jul,0,
523,D_PIPO1S_1W,S,0,0,26-Jun,1,water
524,D_PIPO1S_2W,S,0,0,20-Jul,0,
525,D_PIPO1S_3W,S,0,0,20-Jul,0,
526,D_PIPO1S_4W,S,0,0,20-Jul,0,
527,D_PIPO1S_5W,S,0,0,20-Jul,0,
528,D_PIPO1S_6W,S,0,0,20-Jul,0,
529,D_PIPO2S_1T,S,0.15,0.1,26-Jun,1,water
530,D_PIPO2S_2T,S,0.05,0.1,20-Jul,0,
531,D_PIPO2S_3T,S,0,0,20-Jul,0,
532,D_PIPO2S_4T,S,0,0,20-Jul,0,
533,D_PIPO2S_5T,S,0,0,20-Jul,0,
534,D_PIPO2S_6T,S,NA,NA,20-Jul,0,missing
535,D_PIPO2S_1W,S,0,0,26-Jun,1,water
536,D_PIPO2S_2W,S,0,0,31-Jul,0,
537,D_PIPO2S_3W,S,0,0,31-Jul,0,
538,D_PIPO2S_4W,S,0,0,31-Jul,0,
539,D_PIPO2S_5W,S,0,0,31-Jul,0,
540,D_PIPO2S_6W,S,NA,NA,31-Jul,0,missing
541,D_PIPO3S_1T,S,0,0,26-Jun,1,water
542,D_PIPO3S_2T,S,0,0,31-Jul,0,
543,D_PIPO3S_3T,S,0,0,31-Jul,0,
544,D_PIPO3S_4T,S,0,0,31-Jul,0,
545,D_PIPO3S_5T,S,NA,NA,31-Jul,0,missing
546,D_PIPO3S_6T,S,NA,NA,31-Jul,0,missing
547,D_PIPO3S_1W,S,0,0,26-Jun,1,water
548,D_PIPO3S_2W,S,0,0,31-Jul,0,
549,D_PIPO3S_3W,S,0,0,31-Jul,0,
550,D_PIPO3S_4W,S,0,0,31-Jul,0,
551,D_PIPO3S_5W,S,NA,NA,31-Jul,0,missing
552,D_PIPO3S_6W,S,NA,NA,31-Jul,0,missing
553,D_UMCA1S_1T,S,0.45,0.34,26-Jun,1,water
554,D_UMCA1S_2T,S,0.05,0.1,26-Jun,0,"water, plated asymptomatic"
555,D_UMCA1S_3T,S,0.2,0.16,31-Jul,0,
556,D_UMCA1S_4T,S,0.2,0.23,31-Jul,0,
557,D_UMCA1S_5T,S,0.55,0.44,31-Jul,0,
558,D_UMCA1S_6T,S,0.35,0.25,31-Jul,0,
559,D_UMCA1S_1W,S,0,0,26-Jun,1,water
560,D_UMCA1S_2W,S,0,0,31-Jul,0,
561,D_UMCA1S_3W,S,0,0,31-Jul,0,
562,D_UMCA1S_4W,S,0,0,31-Jul,0,
563,D_UMCA1S_5W,S,0,0,31-Jul,0,
564,D_UMCA1S_6W,S,0,0,31-Jul,0,
565,D_LIDE1S_1T,S,3.8,0.52,26-Jun,1,water
566,D_LIDE1S_2T,S,4.65,0.75,31-Jul,0,
567,D_LIDE1S_3T,S,2,0.71,31-Jul,0,
568,D_LIDE1S_4T,S,3.5,1.09,31-Jul,0,
569,D_LIDE1S_5T,S,19.7,6.45,31-Jul,0,
570,D_LIDE1S_6T,S,27.15,13.17,31-Jul,0,
571,D_LIDE1S_1W,S,0,0,26-Jun,1,water
572,D_LIDE1S_2W,S,0,0,26-Jun,0,
573,D_LIDE1S_3W,S,0,0,31-Jul,0,
574,D_LIDE1S_4W,S,0,0,31-Jul,0,
575,D_LIDE1S_5W,S,0,0,31-Jul,0,
576,D_LIDE1S_6W,S,0,0,31-Jul,0,
577,L_ACMA1C_1T,C,335,,5-Jul,0,
578,L_ACMA1C_2T,C,890,,5-Jul,0,
579,L_ACMA1C_3T,C,520,,5-Jul,0,
580,L_ACMA1C_4T,C,1010,,5-Jul,0,
581,L_ACMA1C_5T,C,960,,5-Jul,0,
582,L_ACMA1C_6T,C,60,,5-Jul,0,May need counting again. v. dark + hard to see
583,L_ACMA1C_1W,C,0,,5-Jul,0,
584,L_ACMA1C_2W,C,0,,12-Jul,0,
585,L_ACMA1C_3W,C,0,,12-Jul,0,
586,L_ACMA1C_4W,C,0,,12-Jul,0,
587,L_ACMA1C_5W,C,0,,12-Jul,0,
588,L_ACMA1C_6W,C,0,,12-Jul,0,
589,L_ACMA2C_1T,C,480,,5-Jul,0,
590,L_ACMA2C_2T,C,750,,5-Jul,0,
591,L_ACMA2C_3T,C,1750,,5-Jul,0,
592,L_ACMA2C_4T,C,1700,,5-Jul,0,
593,L_ACMA2C_5T,C,1420,,5-Jul,0,
594,L_ACMA2C_6T,C,1460,,5-Jul,0,
595,L_ACMA2C_1W,C,0,,13-Jul,0,
596,L_ACMA2C_2W,C,0,,13-Jul,0,
597,L_ACMA2C_3W,C,0,,13-Jul,0,
598,L_ACMA2C_4W,C,0,,13-Jul,0,
599,L_ACMA2C_5W,C,0,,13-Jul,0,
600,L_ACMA2C_6W,C,0,,13-Jul,0,
601,L_ACMA3C_1T,C,106.67,,5-Jul,0,
602,L_ACMA3C_2T,C,10,,5-Jul,0,
603,L_ACMA3C_3T,C,340,,5-Jul,0,
604,L_ACMA3C_4T,C,120,,5-Jul,0,
605,L_ACMA3C_5T,C,135,,5-Jul,0,
606,L_ACMA3C_6T,C,35,,5-Jul,0,
607,L_ACMA3C_1W,C,0,,13-Jul,0,
608,L_ACMA3C_2W,C,0,,13-Jul,0,
609,L_ACMA3C_3W,C,0,,13-Jul,0,
610,L_ACMA3C_4W,C,0,,13-Jul,0,
611,L_ACMA3C_5W,C,0,,13-Jul,0,
612,L_ACMA3C_6W,C,0,,13-Jul,0,
613,L_ARME1C_1T,C,90,,12-Jul,0,":) after changing KOH to fresh soln, leaves very easy to see"
614,L_ARME1C_2T,C,10,,12-Jul,0,
615,L_ARME1C_3T,C,36,,12-Jul,0,
616,L_ARME1C_4T,C,22,,12-Jul,0,
617,L_ARME1C_5T,C,24,,12-Jul,0,
618,L_ARME1C_6T,C,97,,12-Jul,0,
619,L_ARME1C_1W,C,0,,12-Jul,0,
620,L_ARME1C_2W,C,0,,12-Jul,0,
621,L_ARME1C_3W,C,NA,,12-Jul,0,
622,L_ARME1C_4W,C,0,,12-Jul,0,
623,L_ARME1C_5W,C,0,,12-Jul,0,
624,L_ARME1C_6W,C,0,,12-Jul,0,
625,L_ARME2C_1T,C,80,,12-Jul,0,"7/12 too dark atm, recounted later, kinda hard to see"
626,L_ARME2C_2T,C,0,,12-Jul,0,kinda hard to see
627,L_ARME2C_3T,C,166,,12-Jul,0,kinda hard to see
628,L_ARME2C_4T,C,22,,12-Jul,0,kinda hard to see
629,L_ARME2C_5T,C,0,,12-Jul,0,kinda hard to see
630,L_ARME2C_6T,C,89,,12-Jul,0,"too dark atm, kinda hard to see"
631,L_ARME2C_1W,C,0,,16-Jul,0,too dark atm
632,L_ARME2C_2W,C,0,,16-Jul,0,too dark atm
633,L_ARME2C_3W,C,0,,12-Jul,0,
634,L_ARME2C_4W,C,0,,12-Jul,0,0 under the leica
635,L_ARME2C_5W,C,0,,12-Jul,0,
636,L_ARME2C_6W,C,0,,16-Jul,0,too dark
637,L_ARME3C_1T,C,40,,16-Jul,0,too dark
638,L_ARME3C_2T,C,74,,16-Jul,0,too dark
639,L_ARME3C_3T,C,91,,16-Jul,0,too dark
640,L_ARME3C_4T,C,0,,16-Jul,0,too dark
641,L_ARME3C_5T,C,8,,12-Jul,0,
642,L_ARME3C_6T,C,0,,12-Jul,0,"possibly ch, but not confident too dark"
643,L_ARME3C_1W,C,0,,16-Jul,0,"possibly ch, but not confident too dark"
644,L_ARME3C_2W,C,0,,16-Jul,0,"possibly ch, but not confident too dark"
645,L_ARME3C_3W,C,0,,16-Jul,0,"possibly ch, but not confident too dark"
646,L_ARME3C_4W,C,0,,16-Jul,0,
647,L_ARME3C_5W,C,0,,12-Jul,0,
648,L_ARME3C_6W,C,0,,12-Jul,0,
649,L_CEOL1C_1T,C,0,,11-Jul,0,
650,L_CEOL1C_2T,C,0,,11-Jul,0,
651,L_CEOL1C_3T,C,0,,11-Jul,0,
652,L_CEOL1C_4T,C,0,,11-Jul,0,
653,L_CEOL1C_5T,C,0,,11-Jul,0,
654,L_CEOL1C_6T,C,0,,11-Jul,0,
655,L_CEOL1C_1W,C,0,,11-Jul,0,
656,L_CEOL1C_2W,C,0,,11-Jul,0,
657,L_CEOL1C_3W,C,0,,11-Jul,0,
658,L_CEOL1C_4W,C,0,,11-Jul,0,
659,L_CEOL1C_5W,C,0,,11-Jul,0,
660,L_CEOL1C_6W,C,0,,11-Jul,0,
661,L_HEAR1C_1T,C,0,,9-Jul,0,~20 um cell (silvery) present in all the leave of HEAR
662,L_HEAR1C_2T,C,0,,9-Jul,0,~20 um cell (silvery) present in all the leave of HEAR
663,L_HEAR1C_3T,C,0,,9-Jul,0,~20 um cell (silvery) present in all the leave of HEAR
664,L_HEAR1C_4T,C,0,,9-Jul,0,~20 um cell (silvery) present in all the leave of HEAR
665,L_HEAR1C_5T,C,0,,9-Jul,0,~20 um cell (silvery) present in all the leave of HEAR
666,L_HEAR1C_6T,C,0,,9-Jul,0,~20 um cell (silvery) present in all the leave of HEAR
667,L_HEAR1C_1W,C,0,,5-Jul,0,~20 um cell (silvery) present in all the leave of HEAR
668,L_HEAR1C_2W,C,0,,9-Jul,0,~20 um cell (silvery) present in all the leave of HEAR
669,L_HEAR1C_3W,C,0,,9-Jul,0,~20 um cell (silvery) present in all the leave of HEAR
670,L_HEAR1C_4W,C,0,,9-Jul,0,~20 um cell (silvery) present in all the leave of HEAR
671,L_HEAR1C_5W,C,0,,9-Jul,0,~20 um cell (silvery) present in all the leave of HEAR
672,L_HEAR1C_6W,C,0,,9-Jul,0,~20 um cell (silvery) present in all the leave of HEAR
673,L_HEAR2C_1T,C,1,,9-Jul,0,"~20 um cell (silvery) present in all the leave of HEAR, on top of surface like #677"
674,L_HEAR2C_2T,C,0,,9-Jul,0,
675,L_HEAR2C_3T,C,1,,9-Jul,0,see #675
676,L_HEAR2C_4T,C,0,,9-Jul,0,
677,L_HEAR2C_5T,C,1,,9-Jul,0,not even sure if the one chlamydospore was PR. Hyphae golden brown.
678,L_HEAR2C_6T,C,0,,9-Jul,0,
679,L_HEAR2C_1W,C,0,,9-Jul,0,
680,L_HEAR2C_2W,C,0,,9-Jul,0,
681,L_HEAR2C_3W,C,0,,9-Jul,0,
682,L_HEAR2C_4W,C,0,,9-Jul,0,
683,L_HEAR2C_5W,C,0,,9-Jul,0,
684,L_HEAR2C_6W,C,0,,9-Jul,0,
685,L_HEAR3C_1T,C,0,,9-Jul,0,
686,L_HEAR3C_2T,C,0,,9-Jul,0,
687,L_HEAR3C_3T,C,0,,9-Jul,0,
688,L_HEAR3C_4T,C,0,,9-Jul,0,
689,L_HEAR3C_5T,C,0,,9-Jul,0,
690,L_HEAR3C_6T,C,0,,9-Jul,0,
691,L_HEAR3C_1W,C,0,,9-Jul,0,
692,L_HEAR3C_2W,C,0,,9-Jul,0,
693,L_HEAR3C_3W,C,0,,9-Jul,0,
694,L_HEAR3C_4W,C,0,,9-Jul,0,
695,L_HEAR3C_5W,C,0,,9-Jul,0,
696,L_HEAR3C_6W,C,0,,9-Jul,0,
697,L_LIDE1C_1T,C,48,,5-Jul,0,"~ 60% left and hard to see, might remove"
698,L_LIDE1C_2T,C,80,,5-Jul,0,
699,L_LIDE1C_3T,C,70,,6-Jul,0,
700,L_LIDE1C_4T,C,120,,5-Jul,0,
701,L_LIDE1C_5T,C,420,,5-Jul,0,
702,L_LIDE1C_6T,C,215,,5-Jul,0,
703,L_LIDE1C_1W,C,0,,5-Jul,0,
704,L_LIDE1C_2W,C,0,,11-Jul,0,
705,L_LIDE1C_3W,C,0,,11-Jul,0,
706,L_LIDE1C_4W,C,0,,11-Jul,0,
707,L_LIDE1C_5W,C,0,,11-Jul,0,
708,L_LIDE1C_6W,C,0,,11-Jul,0,
709,L_LIDE2C_1T,C,23.33,,6-Jul,0,
710,L_LIDE2C_2T,C,63.33,,6-Jul,0,
711,L_LIDE2C_3T,C,14,,6-Jul,0,
712,L_LIDE2C_4T,C,28,,6-Jul,0,
713,L_LIDE2C_5T,C,10,,6-Jul,0,
714,L_LIDE2C_6T,C,24,,6-Jul,0,
715,L_LIDE2C_1W,C,0,,11-Jul,0,
716,L_LIDE2C_2W,C,0,,11-Jul,0,
717,L_LIDE2C_3W,C,0,,11-Jul,0,
718,L_LIDE2C_4W,C,0,,11-Jul,0,
719,L_LIDE2C_5W,C,0,,11-Jul,0,
720,L_LIDE2C_6W,C,0,,11-Jul,0,
721,L_LIDE3C_1T,C,156,,6-Jul,0,
722,L_LIDE3C_2T,C,358,,6-Jul,0,
723,L_LIDE3C_3T,C,1200,,6-Jul,0,count again
724,L_LIDE3C_4T,C,570,,6-Jul,0,
725,L_LIDE3C_5T,C,640,,6-Jul,0,
726,L_LIDE3C_6T,C,600,,6-Jul,0,
727,L_LIDE3C_1W,C,0,,6-Jul,0,
728,L_LIDE3C_2W,C,0,,6-Jul,0,
729,L_LIDE3C_3W,C,0,,6-Jul,0,
730,L_LIDE3C_4W,C,0,,6-Jul,0,
731,L_LIDE3C_5W,C,0,,6-Jul,0,
732,L_LIDE3C_6W,C,0,,6-Jul,0,
733,L_QUAG1C_1T,C,0,,9-Aug,0,"leaves still too thic had to wait extra time for leaves to dissolve, waited and will probably throw out the sample b/c the chlamydospores dissolved in the KOH"
734,L_QUAG1C_2T,C,0,,9-Aug,0,"leaves still too thic had to wait extra time for leaves to dissolve, waited and will probably throw out the sample b/c the chlamydospores dissolved in the KOH"
735,L_QUAG1C_3T,C,0,,9-Aug,0,"leaves still too thic had to wait extra time for leaves to dissolve, waited and will probably throw out the sample b/c the chlamydospores dissolved in the KOH"
736,L_QUAG1C_4T,C,0,,9-Aug,0,"leaves still too thic had to wait extra time for leaves to dissolve, waited and will probably throw out the sample b/c the chlamydospores dissolved in the KOH"
737,L_QUAG1C_5T,C,2,,9-Aug,0,"leaves still too thic had to wait extra time for leaves to dissolve, waited and will probably throw out the sample b/c the chlamydospores dissolved in the KOH"
738,L_QUAG1C_6T,C,0,,9-Aug,0,"leaves still too thic had to wait extra time for leaves to dissolve, waited and will probably throw out the sample b/c the chlamydospores dissolved in the KOH"
739,L_QUAG1C_1W,C,0,,9-Aug,0,"leaves still too thic had to wait extra time for leaves to dissolve, waited and will probably throw out the sample b/c the chlamydospores dissolved in the KOH"
740,L_QUAG1C_2W,C,0,,9-Aug,0,"leaves still too thic had to wait extra time for leaves to dissolve, waited and will probably throw out the sample b/c the chlamydospores dissolved in the KOH"
741,L_QUAG1C_3W,C,0,,9-Aug,0,"leaves still too thic had to wait extra time for leaves to dissolve, waited and will probably throw out the sample b/c the chlamydospores dissolved in the KOH"
742,L_QUAG1C_4W,C,0,,9-Aug,0,"leaves still too thic had to wait extra time for leaves to dissolve, waited and will probably throw out the sample b/c the chlamydospores dissolved in the KOH"
743,L_QUAG1C_5W,C,0,,9-Aug,0,"leaves still too thic had to wait extra time for leaves to dissolve, waited and will probably throw out the sample b/c the chlamydospores dissolved in the KOH"
744,L_QUAG1C_6W,C,0,,9-Aug,0,"leaves still too thic had to wait extra time for leaves to dissolve, waited and will probably throw out the sample b/c the chlamydospores dissolved in the KOH"
745,L_QUAG2C_1T,C,585,,13-Jul,0,"used another glass slide as cover slip b/c leaves still v. stiff, worked well"
746,L_QUAG2C_2T,C,0,,13-Jul,0,
747,L_QUAG2C_3T,C,575,,13-Jul,0,
748,L_QUAG2C_4T,C,470,,13-Jul,0,
749,L_QUAG2C_5T,C,325,,13-Jul,0,
750,L_QUAG2C_6T,C,740,,13-Jul,0,
751,L_QUAG2C_1W,C,0,,13-Jul,0,
752,L_QUAG2C_2W,C,0,,13-Jul,0,
753,L_QUAG2C_3W,C,0,,13-Jul,0,
754,L_QUAG2C_4W,C,0,,13-Jul,0,
755,L_QUAG2C_5W,C,0,,13-Jul,0,
756,L_QUAG2C_6W,C,0,,13-Jul,0,
757,L_QUAG3C_1T,C,0,,9-Aug,0,"too dark, didn't see any chlamydospore when scanning but too dark to tell"
758,L_QUAG3C_2T,C,0,,9-Aug,0,"too dark, didn't see any chlamydospore when scanning but too dark to tell"
759,L_QUAG3C_3T,C,0,,9-Aug,0,"scanned it, definitely has chlamydospores"
760,L_QUAG3C_4T,C,11,,9-Aug,0,too dark
761,L_QUAG3C_5T,C,0,,9-Aug,0,"too dark, has chlamydospores but deep in still opaque tissue, not sure what to do"
762,L_QUAG3C_6T,C,0,,9-Aug,0,too dark
763,L_QUAG3C_1W,C,0,,9-Aug,0,too dark
764,L_QUAG3C_2W,C,0,,9-Aug,0,too dark
765,L_QUAG3C_3W,C,0,,9-Aug,0,too dark
766,L_QUAG3C_4W,C,0,,9-Aug,0,too dark
767,L_QUAG3C_5W,C,0,,9-Aug,0,too dark
768,L_QUAG3C_6W,C,0,,9-Aug,0,too dark
769,L_QUCH1C_1T,C,NA,,9-Aug,0,too dark + thick to count. v. similar to QUAG. Weird dark cells similar to chlamydospores but can't tell
770,L_QUCH1C_2T,C,0,,9-Aug,0,too dark
771,L_QUCH1C_3T,C,0,,9-Aug,0,too dark
772,L_QUCH1C_4T,C,0,,9-Aug,0,too dark
773,L_QUCH1C_5T,C,0,,9-Aug,0,too dark
774,L_QUCH1C_6T,C,0,,9-Aug,0,too dark
775,L_QUCH1C_1W,C,0,,9-Aug,0,too dark
776,L_QUCH1C_2W,C,0,,9-Aug,0,
777,L_QUCH1C_3W,C,0,,9-Aug,0,
778,L_QUCH1C_4W,C,0,,9-Aug,0,
779,L_QUCH1C_5W,C,0,,9-Aug,0,
780,L_QUCH1C_6W,C,0,,9-Aug,0,
781,L_QUCH2C_1T,C,0,,9-Aug,0,
782,L_QUCH2C_2T,C,0,,13-Jul,0,
783,L_QUCH2C_3T,C,0,,13-Jul,0,
784,L_QUCH2C_4T,C,0,,9-Aug,0,
785,L_QUCH2C_5T,C,0,,13-Jul,0,
786,L_QUCH2C_6T,C,0,,13-Jul,0,
787,L_QUCH2C_1W,C,0,,10-Aug,0,
788,L_QUCH2C_2W,C,0,,10-Aug,0,
789,L_QUCH2C_3W,C,0,,10-Aug,0,
790,L_QUCH2C_4W,C,0,,10-Aug,0,
791,L_QUCH2C_5W,C,0,,10-Aug,0,
792,L_QUCH2C_6W,C,0,,10-Aug,0,
793,L_QUCH3C_1T,C,0,,10-Aug,0,
794,L_QUCH3C_2T,C,0,,10-Aug,0,
795,L_QUCH3C_3T,C,0,,10-Aug,0,
796,L_QUCH3C_4T,C,0,,10-Aug,0,
797,L_QUCH3C_5T,C,0,,10-Aug,0,
798,L_QUCH3C_6T,C,0,,10-Aug,0,
799,L_QUCH3C_1W,C,0,,10-Aug,0,
800,L_QUCH3C_2W,C,0,,10-Aug,0,
801,L_QUCH3C_3W,C,0,,10-Aug,0,
802,L_QUCH3C_4W,C,0,,10-Aug,0,
803,L_QUCH3C_5W,C,0,,10-Aug,0,
804,L_QUCH3C_6W,C,0,,10-Aug,0,
805,L_QUKE1C_1T,C,445,,10-Aug,0,
806,L_QUKE1C_2T,C,730,,10-Aug,0,
807,L_QUKE1C_3T,C,360,,9-Jul,0,
808,L_QUKE1C_4T,C,750,,9-Jul,0,
809,L_QUKE1C_5T,C,830,,9-Jul,0,
810,L_QUKE1C_6T,C,310,,9-Jul,0,
811,L_QUKE1C_1W,C,0,,9-Jul,0,
812,L_QUKE1C_2W,C,0,,9-Jul,0,
813,L_QUKE1C_3W,C,0,,9-Jul,0,
814,L_QUKE1C_4W,C,0,,9-Jul,0,
815,L_QUKE1C_5W,C,0,,9-Jul,0,
816,L_QUKE1C_6W,C,0,,9-Jul,0,
817,L_QUKE2C_1T,C,790,,9-Jul,0,
818,L_QUKE2C_2T,C,790,,9-Jul,0,
819,L_QUKE2C_3T,C,900,,9-Jul,0,
820,L_QUKE2C_4T,C,850,,9-Jul,0,
821,L_QUKE2C_5T,C,820,,9-Jul,0,
822,L_QUKE2C_6T,C,1060,,9-Jul,0,
823,L_QUKE2C_1W,C,0,,16-Jul,0,
824,L_QUKE2C_2W,C,0,,16-Jul,0,
825,L_QUKE2C_3W,C,0,,16-Jul,0,
826,L_QUKE2C_4W,C,0,,16-Jul,0,
827,L_QUKE2C_5W,C,0,,16-Jul,0,
828,L_QUKE2C_6W,C,0,,16-Jul,0,
829,L_QUKE3C_1T,C,670,,16-Jul,0,counts later. lots of dark cells like RITCA
830,L_QUKE3C_2T,C,380,,16-Jul,0,counts later. lots of dark cells like RITCA
831,L_QUKE3C_3T,C,340,,9-Jul,0,counts later. lots of dark cells like RITCA
832,L_QUKE3C_4T,C,980,,16-Jul,0,see #829
833,L_QUKE3C_5T,C,59,,16-Jul,0,see #829
834,L_QUKE3C_6T,C,27,,9-Jul,0,
835,L_QUKE3C_1W,C,0,,16-Jul,0,
836,L_QUKE3C_2W,C,0,,16-Jul,0,
837,L_QUKE3C_3W,C,0,,16-Jul,0,
838,L_QUKE3C_4W,C,0,,16-Jul,0,
839,L_QUKE3C_5W,C,0,,16-Jul,0,
840,L_QUKE3C_6W,C,0,,16-Jul,0,
841,L_QUPA1C_1T,C,0,,16-Jul,0,"7/10 too thick to count, can't rely on QUPA counts and also QUAG 1 and 3 and QUCH"
842,L_QUPA1C_2T,C,0,,16-Jul,0,"7/10 too thick to count, can't rely on QUPA counts and also QUAG 1 and 3 and QUCH"
843,L_QUPA1C_3T,C,0,,16-Jul,0,"7/10 too thick to count, can't rely on QUPA counts and also QUAG 1 and 3 and QUCH"
844,L_QUPA1C_4T,C,0,,16-Jul,0,"7/10 too thick to count, can't rely on QUPA counts and also QUAG 1 and 3 and QUCH"
845,L_QUPA1C_5T,C,0,,16-Jul,0,"7/10 too thick to count, can't rely on QUPA counts and also QUAG 1 and 3 and QUCH"
846,L_QUPA1C_6T,C,0,,16-Jul,0,"7/10 too thick to count, can't rely on QUPA counts and also QUAG 1 and 3 and QUCH"
847,L_QUPA1C_1W,C,0,,16-Jul,0,"7/10 too thick to count, can't rely on QUPA counts and also QUAG 1 and 3 and QUCH"
848,L_QUPA1C_2W,C,0,,16-Jul,0,"7/10 too thick to count, can't rely on QUPA counts and also QUAG 1 and 3 and QUCH"
849,L_QUPA1C_3W,C,0,,16-Jul,0,"7/10 too thick to count, can't rely on QUPA counts and also QUAG 1 and 3 and QUCH"
850,L_QUPA1C_4W,C,0,,16-Jul,0,"7/10 too thick to count, can't rely on QUPA counts and also QUAG 1 and 3 and QUCH"
851,L_QUPA1C_5W,C,0,,16-Jul,0,"7/10 too thick to count, can't rely on QUPA counts and also QUAG 1 and 3 and QUCH"
852,L_QUPA1C_6W,C,0,,16-Jul,0,"7/10 too thick to count, can't rely on QUPA counts and also QUAG 1 and 3 and QUCH"
853,L_QUPA2C_1T,C,0,,17-Jul,0,"7/10 too thick to count, can't rely on QUPA counts and also QUAG 1 and 3 and QUCH"
854,L_QUPA2C_2T,C,0,,17-Jul,0,"7/10 too thick to count, can't rely on QUPA counts and also QUAG 1 and 3 and QUCH"
855,L_QUPA2C_3T,C,0,,17-Jul,0,"7/10 too thick to count, can't rely on QUPA counts and also QUAG 1 and 3 and QUCH"
856,L_QUPA2C_4T,C,0,,17-Jul,0,"7/10 too thick to count, can't rely on QUPA counts and also QUAG 1 and 3 and QUCH"
